basin,key,lat,lon,Kpet,uztwm,uzfwm,lztwm,lzfpm,lzfsm,uzk,lzpk,lzsk,zperc,rexp,pfree,pctim,adimp,riva,side,rserv,SCF,PXTEMP,MFMAX,MFMIN,UADJ,MBASE,TIPM,PLWHC,NMF,DAYGM,Nres,Kres,Velo,Diff,Kpet_asin,Kpet_acos
ORO,39.90625_-120.84375,39.90625,-120.84375,1.0954617459234326,327.1619693506532,649.4047433243476,1031.857292052531,1485.3273587226495,3240.9255410572905,0.3121879005727586,0.2266438258200093,0.03380345389958364,362.21462539869856,5.752127426235074,0.321879139514492,0.020593298697051173,0.3285602113269337,0.06955917043060371,0.0,0.25612478187513205,1.0,0.0,0.9220802181729448,0.10196773441770329,0.03921907009332635,0.09200417739713307,0.980203382972791,0.02588083332871595,0.29560335612989863,0.1703158118325317,7.106746516976318,0.8413242918221433,4.376123014719536,3856.5315615188165,0.04367697721909417,0.06707963560418896
ORO,39.90625_-120.78125,39.90625,-120.78125,1.1161033931493718,393.6374857968997,661.4871194327102,1225.6873435677742,1334.2007924691034,3521.820180958832,0.32680667343541836,0.2373908338522841,0.03433064427895777,351.8959137774487,6.066760806539358,0.31728050602890834,0.022289825057131868,0.3071061694329788,0.07979095721833723,0.0,0.25612478187513205,1.0,0.0,0.8672093107801244,0.11289521577185414,0.04137354477062914,0.10395797955207896,0.9804551591939052,0.026358871549330386,0.29503092209749104,0.15618517084622113,6.918099384265087,0.8441254527388156,4.332493520818284,3797.7150818029536,0.03814780666467623,0.05739619222759778
ORO,39.90625_-120.71875,39.90625,-120.71875,0.5164130339367499,84.67337055440194,410.6819540638358,3312.3169766680603,1199.6989130390148,3361.6067405521785,0.1656029072320517,0.3309633185452541,0.009515524372643629,448.65192059200706,2.7421744735946385,0.17066049379588952,0.00835699779883167,0.14265558697783065,0.0009071557968665247,0.0,0.25612478187513205,1.0,0.0,0.4414475569539359,0.06969794269868879,0.030547656586482747,0.2274599079773718,0.9760846799944994,0.029826302111025875,0.2899039081563194,0.16245893598899713,11.057739188255018,0.7120831057472484,4.847129600882493,3982.907594804749,0.11314610214471583,0.14503566618226693
ORO,39.84375_-120.78125,39.84375,-120.78125,0.6041586096721687,144.65147432510253,480.10114620808554,2887.492785035815,1122.9845038004357,3633.304826213099,0.20160007426918666,0.3232828710204364,0.011767730457291847,430.20906056184,3.402072179844659,0.21152177211473902,0.011318973313711626,0.17147091396730604,0.00290891328334542,0.0,0.25612478187513205,1.0,0.0,0.4679159772596808,0.07912258977091044,0.031315032193437405,0.2167440689009873,0.9774816985731888,0.029255788568716613,0.29021974453399224,0.14792794921918845,9.94194790266653,0.7488478364499503,4.768460454182954,3966.801280700709,0.09585414182921385,0.1279819086530129
ORO,39.84375_-120.71875,39.84375,-120.71875,0.9320826065723223,275.3299874788079,613.0698610639947,1399.4349700954378,1405.5554620741143,3309.258167291737,0.2844140515145788,0.25205472803421497,0.026458783135072723,380.9344398738772,5.132470749125927,0.2977790313297459,0.018380489159870624,0.2880919004944879,0.033862464398343506,0.0,0.25612478187513205,1.0,0.0,0.7950255755811935,0.09592701569900522,0.03599913223484567,0.11238827161121033,0.9796015875213826,0.026582420712754982,0.2946916352108889,0.16462873881249235,7.67194687240531,0.8245819915564866,4.504388448172461,3897.1196957375214,0.056749630256103696,0.08380344651690784
ORO,39.84375_-120.65625,39.84375,-120.65625,0.6704994142630838,185.3080102999081,522.9182531334105,2487.888529691551,1185.9116774670558,3563.2284671529346,0.22598003803627148,0.30288190006344246,0.015095936157124519,416.7230121354852,3.8872621773413143,0.23327153005175533,0.013252851282041815,0.19549889771970813,0.006087046107036178,0.0,0.25612478187513205,1.0,0.0,0.5475220816847164,0.08366057939169871,0.03212293117560391,0.1811225163407324,0.9781488851796903,0.02846856746976134,0.29175851395878444,0.1511648198707498,9.241595542193945,0.7733537757137433,4.7044319817065805,3948.809682108687,0.08452721302071765,0.1161046074356441
ORO,39.78125_-120.65625,39.78125,-120.65625,1.0603084339643765,393.0085179427395,654.7120873229541,1420.917494035488,1214.944707226989,3706.050295660355,0.3250293758344973,0.25599312629998816,0.031059692799447668,353.0077282217574,6.025478835681637,0.3217161746509209,0.023109345140765594,0.2856821057864953,0.06634857200484724,0.0,0.25612478187513205,1.0,0.0,0.762444347395792,0.11648095235219848,0.04122449568010121,0.1247635655655156,0.9804345185025561,0.026878408620747935,0.2940635914838513,0.1431123776614319,7.025306573986353,0.8389796995714214,4.358917812104508,3799.409007053863,0.03947385366653156,0.05787277166219834
ORO,39.78125_-120.59375,39.78125,-120.59375,1.1357176145002779,432.17228980022634,672.9068720768624,1299.1752071400804,1198.6343387720087,3755.639709756241,0.3412740621348196,0.2414312117558085,0.03552843359883009,341.3033303528388,6.388118152571306,0.33066806090923556,0.0244986650774815,0.2905293729930767,0.09313963251336214,0.0,0.25612478187513205,1.0,0.0,0.7960454807736809,0.1210411882295088,0.04399963894488066,0.11879313508012157,0.9807436473806802,0.02667251799296648,0.29431621805371777,0.14160044164545432,6.787049264618356,0.8452312576636101,4.272398556685291,3749.321998280235,0.031942463695324864,0.04723859458792569
ORO,39.71875_-120.59375,39.71875,-120.59375,0.7896089424275587,271.0817758711721,579.0091340228428,2124.355924138,1152.8104590138998,3690.9647634639123,0.2644148497041899,0.2875516539288386,0.019848943588787873,393.7698259388482,4.681914510401867,0.2662487534650501,0.016922732062354374,0.2223485057771625,0.016042201299019763,0.0,0.25612478187513205,1.0,0.0,0.6076375963018862,0.09573453355559174,0.034315005701607074,0.16380673895587688,0.9791248293795028,0.02802159490523166,0.2923996264774729,0.14317932514618503,8.313924993381196,0.8012942268978731,4.592513416235342,3905.9386856527635,0.06704498695689912,0.09471811300802754
ORO,39.71875_-120.53125,39.71875,-120.53125,0.890558005429136,239.85513600531053,604.8479789099815,1295.1365582306719,1503.403833731662,3080.9032039367353,0.27525579284784973,0.23445349162575338,0.02773386192531278,387.10826351385583,4.935798114050108,0.2918600326184536,0.017279270616483152,0.2893448399311594,0.030000080890667996,0.0,0.25612478187513205,1.0,0.0,0.8521427977370004,0.08879262117939415,0.03506288385083627,0.1005072203689,0.9793365241754539,0.02621212087632323,0.2952501796089914,0.1762537547481399,7.846098374306982,0.8218785045250196,4.526840392746201,3914.5205417878437,0.060619698707116046,0.09016657488930138
