basin,key,lat,lon,Kpet,uztwm,uzfwm,lztwm,lzfpm,lzfsm,uzk,lzpk,lzsk,zperc,rexp,pfree,pctim,adimp,riva,side,rserv,SCF,PXTEMP,MFMAX,MFMIN,UADJ,MBASE,TIPM,PLWHC,NMF,DAYGM,Nres,Kres,Velo,Diff,Kpet_asin,Kpet_acos,MFMAX_asin,MFMAX_acos,MFMIN_asin,MFMIN_acos,MBASE_asin,MBASE_acos
SHA,40.90625_-121.65625,40.90625,-121.65625,0.7886345371476825,965.7799379750008,528.8727989437809,4996.504596297291,810.6550893505291,4167.419739066328,0.7123794809024133,0.20418281746113823,0.014117579665393228,298.63556606388926,6.490649286763652,0.5549139746313649,0.029406188963166418,0.012151641557740359,4.1455461822502104e-05,0.0,0.25612478187513205,1.0,0.0,0.7196830991891694,0.3666850587317873,0.0300642117065545,0.08058900833011165,0.982421574390796,0.08873381368168547,0.05166762735896449,0.2542097001417217,5.539704938737093,0.32487714574784354,4.913148793453858,3998.0706635508263,0.09785684610724464,0.20334982168709964,0.01395441625723403,-0.33962922329522865,-0.19079062375779593,-0.12076702512046271,0.2009821387067018,0.35308848681637317
SHA,40.84375_-121.71875,40.84375,-121.71875,0.5894615507156328,994.8569270763355,342.04991519701105,4999.979216889209,691.1894432057952,4418.954825361258,0.8263185032723422,0.2174371062120895,0.006601609226474898,329.35895954040905,5.2235750545538,0.6443220321002661,0.025769689288040507,0.0011778912573174457,1.3494424458566135e-07,0.0,0.25612478187513205,1.0,0.0,0.5128752638147056,0.657437256542155,0.030001185311755947,0.0862540968142613,0.9826417453459176,0.19035503314617408,0.05000598190555265,0.28219125476090184,4.718454080381122,0.1103070435534623,4.985634931047004,3999.932048057183,0.13328990600668011,0.20944634561656175,0.016345709162928025,-0.43245908980583214,-0.28631517780526455,-0.19201010409033403,0.30222827621838166,0.44371577299477005
SHA,40.84375_-121.65625,40.84375,-121.65625,0.7164199778998057,982.6191863122032,459.6308433892511,4999.406123027447,773.3254613198986,4310.42737218282,0.7484178508739074,0.20981230082931268,0.010295819395413616,317.81713059178065,5.934368684612484,0.5892354930620665,0.02804787532582621,0.005587392076145075,6.176486212984234e-06,0.0,0.25612478187513205,1.0,0.0,0.5570071046617333,0.42413383410291683,0.030017501657251287,0.09748818210282256,0.9824582237909841,0.11311835961982877,0.05023645175545366,0.26210925079849573,4.74336839074878,0.27125827639775185,4.954792778623558,3999.304510506057,0.1041710555212272,0.20695488695179193,0.010233942110701387,-0.37502666499781623,-0.22466318134876642,-0.1494749755676154,0.24025732284774606,0.3898421371263941
SHA,40.84375_-121.59375,40.84375,-121.59375,0.8677821974365061,949.708541013695,555.2907684942068,4988.151853989842,870.5829534278449,4182.495957051,0.6643532178754606,0.20520016199615185,0.016770219937545624,305.2728105238385,6.582007076319215,0.536951602485749,0.029840251950573195,0.02091772638687728,0.00016331056342110977,0.0,0.25612478187513205,1.0,0.0,0.6656879130375851,0.3102995065763208,0.030172746442661717,0.09428247055777308,0.9823342076503452,0.06624364770313293,0.05586327664404575,0.23755830427213184,5.127372873776423,0.4586118369992182,4.874624837924243,3995.0373131572333,0.07845269724055993,0.1974421050256406,0.008585429587196361,-0.29998292734019233,-0.164389150729019,-0.1063618410121317,0.1758223734570323,0.31465502769357256
SHA,41.21875_-121.96875,41.21875,-121.96875,0.5647284970973161,997.0449000987718,296.65841689698186,4999.994016115293,648.6565789686941,4474.78398807119,0.8515676747033009,0.21969107087479658,0.005571405138618412,336.09331533730335,4.9367735728654045,0.6628852190504151,0.02474176989072997,0.0006222847785040668,2.8424818279864185e-08,0.0,0.25612478187513205,1.0,0.0,0.44859153637459925,0.7915089104672033,0.03000038463394273,0.09033244314189931,0.9827079978667574,0.21559117930476335,0.050001207497918886,0.2861344645173695,4.4288780076563725,0.08209093804521567,4.991513023569546,3999.972874469883,0.14202783881731462,0.20972154512988922,0.01933580254284468,-0.44629759949578196,-0.3054980407724975,-0.2097877644055276,0.3238344075579178,0.45679632728403935
SHA,41.21875_-121.90625,41.21875,-121.90625,0.5653734614726884,997.0422131061683,294.2046133749537,4999.993964764005,655.6022545745714,4482.348633739293,0.8501091343533308,0.22051948959517556,0.005559359030306181,337.8703702056739,4.907133996451275,0.6631569780557861,0.02472354505009217,0.0006255232876324661,2.8718679067741534e-08,0.0,0.25612478187513205,1.0,0.0,0.43881212593390184,0.784329596081567,0.030000388811059344,0.0924502985068198,0.9827006656861674,0.21479622127526404,0.05000120102714774,0.28595318650530055,4.382064336588115,0.08390289878468794,4.991525750904892,3999.972264539294,0.14138853575663995,0.20971860277736754,0.01849127280911577,-0.44608106244554685,-0.3056855380394937,-0.2102213376260695,0.3240031056911503,0.45664374192365464
SHA,41.21875_-121.84375,41.21875,-121.84375,0.5854164713225586,995.8451684793516,322.7936988663408,4999.987323310868,680.5861077990402,4453.055221431468,0.8341480494296464,0.21884523335272685,0.006124916175672406,334.52682864162534,5.08083837238215,0.6507393931039032,0.02529909102406033,0.0009432141856673372,7.757857533281469e-08,0.0,0.25612478187513205,1.0,0.0,0.46447969061340916,0.7005759431721975,0.030000796040070058,0.09224114159632901,0.9826560785178298,0.19760905436808585,0.0500032297545138,0.28325686985685633,4.468554063353264,0.10436222514834882,4.988378888622814,3999.9491943851376,0.13534343942786609,0.20956251702610823,0.01712608203408952,-0.4373746035956305,-0.29268132369406796,-0.19928043394357117,0.31029658390066867,0.4484272458335355
SHA,41.21875_-121.78125,41.21875,-121.78125,0.6064560399081018,995.3993673416567,335.19862956655237,4999.983481655419,686.7060321270089,4440.313973306164,0.8282130643062152,0.21812459532315093,0.006347219184995096,332.21553921673365,5.160361553919384,0.6394873694287477,0.02508505883282953,0.001103132072223509,1.1595528690139257e-07,0.0,0.25612478187513205,1.0,0.0,0.4750667590174054,0.7079454003399743,0.030001013587436103,0.08994847888717425,0.9826600307310809,0.18911192314109004,0.05000470200402405,0.28227112577878466,4.535070189811689,0.11148676210949408,4.98703952291911,3999.9373529978448,0.13454957284079178,0.20948435752639266,0.020724219996790718,-0.4334842067043083,-0.2839498265350373,-0.19278614547859266,0.3024633524701995,0.4443755186966508
SHA,41.15625_-121.96875,41.15625,-121.96875,0.7083322841089278,985.5478192645304,422.5935034301679,4999.654295625162,812.8164713256671,4366.935057744626,0.7534300765486578,0.21688107333199125,0.009529556562389305,328.4909426900687,5.629832408389683,0.5978516244417847,0.027054554647400364,0.004435840297641257,3.355340503142392e-06,0.0,0.25612478187513205,1.0,0.0,0.5352861441716321,0.49831563929674016,0.030010938408190507,0.0931500397468926,0.9825097753100548,0.12196431315957632,0.050122007781938954,0.2679332049716952,4.684419818452511,0.23834745616316452,4.9626013420962165,3999.4604664030053,0.10910844211867032,0.20770013417622457,0.013487350877643762,-0.3897678686733082,-0.23455183971508703,-0.1517497579750595,0.2501239644908747,0.4004568120265274
SHA,41.15625_-121.90625,41.15625,-121.90625,0.681027061485471,989.534190609872,364.6701546595892,4999.860063422084,868.8118719384067,4441.196020180314,0.7623985644383472,0.22802262369189966,0.00845224890201397,341.7892983164721,5.18835617431769,0.6085860122714888,0.0257211727695574,0.002911927655777961,1.2097674996030267e-06,0.0,0.25612478187513205,1.0,0.0,0.5063736492431374,0.613454871912451,0.030004986017283464,0.08731443408456203,0.9825863214785742,0.13959888982813762,0.050043980317412556,0.2749894343593061,4.776223499939565,0.18251934621674465,4.971636140106472,3999.687407194329,0.11814102079386013,0.20854487826136944,0.014909524795652189,-0.40760940828894265,-0.2524405036336875,-0.15841858332636746,0.26684210304320005,0.41606770159944473
