basin,key,overlap_area_mi2
BND,40.468750_-122.593750,14.20326232053507
BND,40.468750_-122.656250,14.203262320535611
BND,40.468750_-122.718750,14.203262320530714
BND,40.468750_-122.781250,14.203262320536647
BND,40.468750_-122.843750,12.533237879646997
BND,40.531250_-121.281250,14.163915045565508
BND,40.531250_-121.343750,14.19024117766992
BND,40.531250_-121.406250,14.190241177663102
BND,40.531250_-121.468750,14.190241177668574
BND,40.531250_-121.531250,14.188654506563328
BND,40.531250_-121.593750,14.1902411776649
BND,40.531250_-121.656250,14.19024117766952
BND,40.531250_-121.718750,14.190241177671027
BND,40.531250_-121.781250,14.19024117766542
BND,40.531250_-121.843750,14.18876334699875
BND,40.531250_-121.906250,14.190241177670462
BND,40.531250_-121.968750,14.190241177665426
BND,40.531250_-122.031250,14.174180759005203
BND,40.531250_-122.093750,14.216310111116595
BND,40.531250_-122.156250,14.172163579812898
BND,40.531250_-122.218750,14.180679263986217
BND,40.531250_-122.281250,14.184420527383896
BND,40.531250_-122.343750,14.177408349384741
BND,40.531250_-122.406250,14.19024117766994
BND,40.531250_-122.468750,14.190241177670812
BND,40.531250_-122.531250,14.185409951472868
BND,40.531250_-122.593750,14.169556735738487
BND,40.531250_-122.656250,14.190241177671899
BND,40.531250_-122.718750,13.97434967462285
BND,40.531250_-122.781250,8.159968000339761
BND,40.593750_-121.156250,10.524343812153809
BND,40.593750_-121.218750,13.933715997893648
BND,40.593750_-121.281250,14.177202841592443
BND,40.593750_-121.343750,14.177202841591868
BND,40.593750_-121.406250,14.177202841585977
BND,40.593750_-121.468750,14.177202841593283
BND,40.593750_-121.531250,14.177202841591658
BND,40.593750_-121.593750,14.177202841585606
BND,40.593750_-121.656250,14.183096611025313
BND,40.593750_-121.718750,14.187620762820622
BND,40.593750_-121.781250,14.177202841584865
BND,40.593750_-121.843750,14.17720284159201
BND,40.593750_-121.906250,14.177202841591571
BND,40.593750_-121.968750,14.177202841586432
BND,40.593750_-122.031250,14.177202841591587
BND,40.593750_-122.093750,14.177202841591345
BND,40.593750_-122.156250,14.177202841586336
BND,40.593750_-122.218750,14.177202841591992
BND,40.593750_-122.281250,14.177006609492391
BND,40.593750_-122.343750,14.177202841585519
BND,40.593750_-122.406250,14.17129217092483
BND,40.593750_-122.468750,14.16144111938253
BND,40.593750_-122.531250,14.179313029612452
BND,40.593750_-122.593750,14.147408184214743
BND,40.593750_-122.656250,14.192214247567641
BND,40.656250_-121.093750,9.154651921775729
BND,40.656250_-121.156250,14.164147326136666
BND,40.656250_-121.218750,14.164147326131845
BND,40.656250_-121.281250,14.164147326138737
BND,40.656250_-121.343750,14.164147326139583
BND,40.656250_-121.406250,14.164147326132534
BND,40.656250_-121.468750,14.164147326136872
BND,40.656250_-121.531250,14.16414732613734
BND,40.656250_-121.593750,14.164147326131564
BND,40.656250_-121.656250,14.199825423653
BND,40.656250_-121.718750,14.164147326138716
BND,40.656250_-121.781250,14.16414732613303
BND,40.656250_-121.843750,14.164147326138385
BND,40.656250_-121.906250,14.164147326137465
BND,40.656250_-121.968750,14.16414732613109
BND,40.656250_-122.031250,14.164147326137016
BND,40.656250_-122.093750,14.164147326136947
BND,40.656250_-122.156250,14.164147326132321
BND,40.656250_-122.218750,14.164147326138355
BND,40.656250_-122.281250,14.16073777216853
BND,40.656250_-122.343750,14.164147326131125
BND,40.656250_-122.406250,14.162725558357476
BND,40.656250_-122.468750,14.155885193075045
