date,basin,obs_mm,cal_start,cal_end
1938-07-31,BearRiver,8.436948282729427,1951-10,2010-09
1938-08-31,BearRiver,5.062168969637655,1951-10,2010-09
1938-09-30,BearRiver,3.3747793130917705,1951-10,2010-09
1938-10-31,BearRiver,10.12433793927531,1951-10,2010-09
1938-11-30,BearRiver,13.499117252367082,1951-10,2010-09
1938-12-31,BearRiver,21.936065535096507,1951-10,2010-09
1939-01-31,BearRiver,20.24867587855062,1951-10,2010-09
1939-02-28,BearRiver,32.06040347437182,1951-10,2010-09
1939-03-31,BearRiver,62.43341729219775,1951-10,2010-09
1939-04-30,BearRiver,23.623455191642392,1951-10,2010-09
1939-05-31,BearRiver,8.436948282729427,1951-10,2010-09
1939-06-30,BearRiver,5.062168969637655,1951-10,2010-09
1939-07-31,BearRiver,1.6873896565458852,1951-10,2010-09
1939-08-31,BearRiver,1.6873896565458852,1951-10,2010-09
1939-09-30,BearRiver,0.0,1951-10,2010-09
1939-10-31,BearRiver,3.3747793130917705,1951-10,2010-09
1939-11-30,BearRiver,3.3747793130917705,1951-10,2010-09
1939-12-31,BearRiver,10.12433793927531,1951-10,2010-09
1940-01-31,BearRiver,126.5542242409414,1951-10,2010-09
1940-02-29,BearRiver,212.61109672478153,1951-10,2010-09
1940-03-31,BearRiver,212.61109672478153,1951-10,2010-09
1940-04-30,BearRiver,74.24514488801896,1951-10,2010-09
1940-05-31,BearRiver,20.24867587855062,1951-10,2010-09
1940-06-30,BearRiver,5.062168969637655,1951-10,2010-09
1940-07-31,BearRiver,3.3747793130917705,1951-10,2010-09
1940-08-31,BearRiver,1.6873896565458852,1951-10,2010-09
1940-09-30,BearRiver,1.6873896565458852,1951-10,2010-09
1940-10-31,BearRiver,3.3747793130917705,1951-10,2010-09
1940-11-30,BearRiver,15.186506908912968,1951-10,2010-09
1940-12-31,BearRiver,119.80466561475785,1951-10,2010-09
1941-01-31,BearRiver,178.86330359386383,1951-10,2010-09
1941-02-28,BearRiver,178.86330359386383,1951-10,2010-09
1941-03-31,BearRiver,124.8668345843955,1951-10,2010-09
1941-04-30,BearRiver,124.8668345843955,1951-10,2010-09
1941-05-31,BearRiver,37.12257244400948,1951-10,2010-09
1941-06-30,BearRiver,15.186506908912968,1951-10,2010-09
1941-07-31,BearRiver,6.749558626183541,1951-10,2010-09
1941-08-31,BearRiver,5.062168969637655,1951-10,2010-09
1941-09-30,BearRiver,1.6873896565458852,1951-10,2010-09
1941-10-31,BearRiver,10.12433793927531,1951-10,2010-09
1941-11-30,BearRiver,15.186506908912968,1951-10,2010-09
1941-12-31,BearRiver,114.7424966451202,1951-10,2010-09
