key,sand_0_5,sand_5_15,sand_15_30,sand_30_60,sand_60_100,sand_100_200,clay_0_5,clay_5_15,clay_15_30,clay_30_60,clay_60_100,clay_100_200,ksat_0_5,ksat_5_15,ksat_15_30,ksat_30_60,ksat_60_100,ksat_100_200,theta_s_0_5,theta_s_5_15,theta_s_15_30,theta_s_30_60,theta_s_60_100,theta_s_100_200,polaris_gapfill,EVC,EVH,EVC_cover_pct,EVH_height_m,dem_elev,slope_deg,aspect_sin,aspect_cos,curvature,relief_m,lai_mean,lai_min,lai_max,lai_amp,lai_peak_doy,lai_gapfill
40.781250_-121.031250,42.73725128173828,45.80656051635742,43.970245361328125,44.14188003540039,42.9931640625,43.314453125,14.6611328125,11.953922271728516,14.489290237426758,18.44341468811035,22.309383392333984,23.655576705932617,0.48365479707717896,0.4765454828739166,0.454494833946228,0.34165892004966736,0.30729228258132935,0.3041459918022156,0.549551784992218,0.5697928667068481,0.5295094847679138,0.4933648407459259,0.45319944620132446,0.43844202160835266,0,141.0,117.0,41.0,17.0,1707.880126953125,12.042778535142705,-0.047665448151301616,-0.9988633565470982,-0.0003569952274496956,28.359724501084575,1.0365348152991174,0.555,1.4700000000000002,0.9150000000000001,177,0
40.781250_-120.968750,41.544921875,48.482421875,44.060546875,45.46575164794922,44.8115234375,41.970703125,14.803327560424805,9.240957260131836,13.0771484375,18.566471099853516,21.691219329833984,24.8037109375,0.39470863342285156,0.3933710753917694,0.3946417272090912,0.3941067159175873,0.395711749792099,0.39551112055778503,0.5612940788269043,0.5869308114051819,0.5412546992301941,0.4867297410964966,0.44293472170829773,0.4245228171348572,0,137.0,121.0,37.0,21.0,1776.4486083984375,16.672872364913232,-0.875099200325298,-0.4839435809988846,0.0003809994565405821,37.578159713438815,1.4459439359267734,0.6900000000000001,1.9100000000000001,1.2200000000000002,185,0
40.718750_-122.406250,43.08039093017578,43.59687042236328,42.427734375,40.83790588378906,36.74609375,43.61414337158203,12.792278289794922,13.42948055267334,16.03365707397461,19.01369857788086,22.290855407714844,15.972249984741211,0.36010968685150146,0.3474266827106476,0.24938520789146423,-0.030180897563695908,-0.221205934882164,-0.47868943214416504,0.4439883828163147,0.4418269991874695,0.43892985582351685,0.44420066475868225,0.46893084049224854,0.464493989944458,0,11.0,11.0,0.0,0.0,311.57000732421875,9.48746157472669,-0.2584562814180718,-0.9660229555220426,0.0008816788780792618,25.575137085374106,1.49488640078457,0.6250000000000002,2.505,1.8799999999999997,169,0
40.718750_-122.343750,40.745338439941406,39.83888244628906,37.607421875,36.127201080322266,36.8330078125,42.5869140625,15.516585350036621,17.03131103515625,23.595703125,30.50682830810547,27.545276641845703,21.828432083129883,0.4781288206577301,0.36527547240257263,0.24771368503570557,0.0869869813323021,-0.18607190251350403,-0.14783251285552979,0.5320166349411011,0.5142825841903687,0.4855272173881531,0.49449798464775085,0.47093161940574646,0.4635079503059387,0,161.0,123.0,61.0,23.0,345.2275695800781,17.388852445792914,-0.39380097112145207,0.9191957327706658,-0.00018713807918462413,48.50309687061976,1.5173806799607716,0.6649999999999999,2.5650000000000004,1.9000000000000004,129,0
40.718750_-122.281250,37.0,38.0,37.5,45.75,45.556697845458984,46.6396484375,13.5,13.75,15.5,12.5,12.889596939086914,13.14936351776123,0.24791334569454193,0.27971208095550537,0.2758573293685913,-0.03162639960646629,-0.5614838600158691,-1.0274686813354492,0.34716981649398804,0.36981135606765747,0.39245283603668213,0.39245283603668213,0.45705515146255493,0.4521883726119995,0,237.0,210.0,37.0,1.0,437.786376953125,23.66818971703279,0.1706173624673301,0.9853373613259023,-0.00014564860106687285,67.05803504729367,1.9208349678544188,0.74,3.37,2.63,137,0
40.718750_-122.218750,19.917560577392578,18.989215850830078,18.61328125,17.755882263183594,19.88905143737793,27.545143127441406,43.62548828125,44.95622253417969,45.57353210449219,46.62109375,46.125492095947266,34.766143798828125,-0.553070068359375,-0.6045194864273071,-0.818733811378479,-0.7117698192596436,-0.47472673654556274,0.12293338775634766,0.5010069012641907,0.5012646317481995,0.5014298558235168,0.5036944150924683,0.5017948150634766,0.48974138498306274,0,230.0,206.0,30.0,0.6000000000000001,370.2110900878906,18.448108150904925,0.6397617435039643,0.7685732961460264,0.00027745228582142347,35.446413626055204,1.3313697286695,0.8550000000000002,2.2249999999999996,1.3699999999999994,113,0
40.718750_-122.156250,37.0,38.0,37.5,45.75,45.556697845458984,46.6396484375,13.5,13.75,15.5,12.5,12.889596939086914,13.14936351776123,0.36673855781555176,0.3595982789993286,0.35475432872772217,0.16726046800613403,-0.5948283672332764,-1.0005578994750977,0.34716981649398804,0.36981135606765747,0.39245283603668213,0.39245283603668213,0.45705515146255493,0.4521883726119995,0,227.0,208.0,27.0,0.8,445.8138732910156,18.183365969825097,0.7918200507912234,-0.6107544573435255,-0.0009677706592969987,54.25034808845484,1.205807998256511,0.775,2.005,1.23,121,0
40.718750_-122.093750,45.654144287109375,46.05381774902344,45.281036376953125,42.82421875,43.912513732910156,50.08317184448242,14.520407676696777,15.485379219055176,17.500972747802734,22.592864990234375,23.775928497314453,18.863548278808594,0.46756643056869507,0.3986014723777771,0.31839704513549805,0.27958205342292786,-0.04051331803202629,0.2328280508518219,0.5013635158538818,0.4839007258415222,0.4549696743488312,0.4487590193748474,0.44101980328559875,0.4362972378730774,0,145.0,124.0,45.0,24.0,408.6679382324219,20.522508207470537,0.7200102238303573,-0.6939634555073911,0.0006828002845786923,47.751636756772115,1.9627639751552801,1.2550000000000001,3.035000000000001,1.780000000000001,145,0
40.718750_-121.781250,64.78654479980469,64.38195037841797,61.92829132080078,64.09765625,66.07756042480469,58.25636291503906,10.401559829711914,10.507827758789062,11.127317428588867,11.01364517211914,11.07658576965332,10.54887580871582,1.211882472038269,1.2252603769302368,1.1802440881729126,0.726886510848999,-0.2070312798023224,0.2539866864681244,0.6954537034034729,0.6980947852134705,0.6917135715484619,0.6752137541770935,0.6666024923324585,0.6653718948364258,0,157.0,121.0,57.0,21.0,1605.2337646484375,13.790047111333235,0.8420439063798947,0.5394089911453898,0.0004352695685059523,37.9058498196419,1.4698673313719082,0.5950000000000001,2.285,1.69,281,0
40.718750_-121.718750,40.5,40.5,38.5,39.5,54.5,59.5,20.919511795043945,21.255859375,22.45516586303711,26.5,28.2568359375,14.950098037719727,0.38695088028907776,0.3951874077320099,0.42946183681488037,0.30126744508743286,-0.14478692412376404,0.8548882007598877,0.5977947115898132,0.597771167755127,0.5976696014404297,0.597846269607544,0.5977799892425537,0.5977137684822083,0,155.0,125.0,55.0,25.0,1489.5191650390625,1.1997491881517985,-0.9313246260062108,0.36419011655231875,3.5206775813848346e-05,2.7720530005302697,1.8697515527950308,0.9749999999999999,2.8500000000000005,1.8750000000000007,217,0
