date,basin,obs_mm,cal_start,cal_end
1938-03-31,AMF,203.63793107377865,1951-10,2013-09
1938-04-30,AMF,184.94164459802226,1951-10,2013-09
1938-05-31,AMF,255.35590190603975,1951-10,2013-09
1938-06-30,AMF,151.28832894166084,1951-10,2013-09
1938-07-31,AMF,33.754376664338494,1951-10,2013-09
1938-08-31,AMF,7.781697614233725,1951-10,2013-09
1938-09-30,AMF,5.1288461548358635,1951-10,2013-09
1938-10-31,AMF,7.529045094291071,1951-10,2013-09
1938-11-30,AMF,10.257692309671727,1951-10,2013-09
1938-12-31,AMF,11.21777188545381,1951-10,2013-09
1939-01-31,AMF,12.607360745138404,1951-10,2013-09
1939-02-28,AMF,17.635145891997208,1951-10,2013-09
1939-03-31,AMF,55.96253316729773,1951-10,2013-09
1939-04-30,AMF,82.36472150130501,1951-10,2013-09
1939-05-31,AMF,44.28998674594714,1951-10,2013-09
1939-06-30,AMF,14.375928384736977,1951-10,2013-09
1939-07-31,AMF,3.663461539168474,1951-10,2013-09
1939-08-31,AMF,1.3895888596845936,1951-10,2013-09
1939-09-30,AMF,2.905503979340514,1951-10,2013-09
1939-10-31,AMF,7.001001327610925,1951-10,2013-09
1939-11-30,AMF,4.878720160092637,1951-10,2013-09
1939-12-31,AMF,7.129854112781678,1951-10,2013-09
1940-01-31,AMF,118.27927721115319,1951-10,2013-09
1940-02-29,AMF,154.47680374333711,1951-10,2013-09
1940-03-31,AMF,213.9486804126383,1951-10,2013-09
1940-04-30,AMF,158.7744231075617,1951-10,2013-09
1940-05-31,AMF,129.2115517490718,1951-10,2013-09
1940-06-30,AMF,50.1995291874058,1951-10,2013-09
1940-07-31,AMF,10.09599469690843,1951-10,2013-09
1940-08-31,AMF,3.160683024482594,1951-10,2013-09
1940-09-30,AMF,3.4613395232143516,1951-10,2013-09
1940-10-31,AMF,3.8403183031283312,1951-10,2013-09
1940-11-30,AMF,11.066180373488217,1951-10,2013-09
1940-12-31,AMF,62.910477465720696,1951-10,2013-09
1941-01-31,AMF,87.26618038819248,1951-10,2013-09
