set_id,name,entity_id,ref_kind,system,window,win_start,win_end,volume_scored,area_set_mi2,area_sim_mi2,cover_frac,n_arcs,n_arcs_missing,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr,note
UF4,Stony Creek at Black Butte (uf_04: DWR UF 4 monthly),uf_04,arcsum,,WY1950-84,1949-10,1984-09,True,744.9371658076,744.9371658076,1.0,3,0,420,0.6985661410083048,0.8329272359791147,-21.468175869042685,0.9316848767691579,0.7997322847532199,0.7853182413095733,0.0810015349297633,-0.06540544124226866,396.291554859873,504.62542955710416,
UF4,Stony Creek at Black Butte (uf_04: DWR UF 4 monthly),uf_04,arcsum,,train,1984-10,2014-09,True,744.9371658076,744.9371658076,1.0,3,0,360,0.8814645878602126,0.8931439281896895,-4.2263373312110275,0.9463012772895887,0.9031449619962864,0.9577366266878898,0.05460827353853206,-0.11461302574459609,412.0674598969325,430.25133258396136,
UF11,American R. at Fair Oaks (cdec_FOL: CDEC AMF daily FNF),cdec_FOL,anchor,FOLS,WY1950-84,1949-10,1984-09,True,1863.78155589715,1863.78155589715,1.0,46,0,420,0.7713676901956552,0.878483496899047,-5.778232531632188,0.95399211983949,0.7836271483511742,0.9422176746836781,0.09493110769648842,-0.3421741608974713,2753.3755700290485,2922.228741838677,I_RUB002 has no polygon of its own (dissolved into I_MFA025)
UF11,American R. at Fair Oaks (cdec_FOL: CDEC AMF daily FNF),cdec_FOL,anchor,FOLS,train,1987-10,2018-12,True,1863.78155589715,1863.78155589715,1.0,46,0,375,0.8227664764073764,0.8895387253867254,-7.110484286299786,0.9504632364049618,0.8453975024166338,0.9288951571370022,0.12507306008346572,-0.5347057938940587,2361.2034942954615,2541.9483309322595,I_RUB002 has no polygon of its own (dissolved into I_MFA025)
UF9,Yuba R. at Smartville (cdec_YRS: CDEC YRS daily FNF),cdec_YRS,anchor,YUBA,WY1950-84,1949-10,1984-09,True,1193.4312608042,1129.2539968792,0.9462245828203345,18,2,420,0.7902811584737088,0.8972340866390232,-1.9583733748229724,0.9620760226975393,0.7946704068840282,0.9804162662517704,0.0911250214348035,-0.26064571604267783,2496.248778976219,2546.111141668047,registry entity cdec_YRS omits the Deer Creek arcs I_DER001/I_DER004 (64 mi2); scored on its covered arcs as well
UF9,Yuba R. at Smartville (cdec_YRS: CDEC YRS daily FNF),cdec_YRS,anchor,YUBA,train,1987-10,2018-12,True,1193.4312608042,1129.2539968792,0.9462245828203345,18,2,375,0.8349581115823365,0.9057919354760924,4.894448811977353,0.9590192122420772,0.8478032948782993,1.0489444881197736,0.09867407541421994,-0.2731342646968944,2293.2356042818947,2186.2316168823245,registry entity cdec_YRS omits the Deer Creek arcs I_DER001/I_DER004 (64 mi2); scored on its covered arcs as well
UF9,Yuba R. at Smartville (cdec_YRS: CDEC YRS daily FNF),cdec_YRS,arcsum_covered,,WY1950-84,1949-10,1984-09,False,1193.4312608042,1129.2539968792,0.9462245828203345,18,2,420,0.8213776603594131,0.9017087819297391,-0.7300688144528084,0.9588022717738989,0.826346933916208,0.9926993118554719,0.08911512112086323,-0.3244867635781761,2496.248778976219,2514.607141522478,registry entity cdec_YRS omits the Deer Creek arcs I_DER001/I_DER004 (64 mi2); scored on its covered arcs as well
UF9,Yuba R. at Smartville (cdec_YRS: CDEC YRS daily FNF),cdec_YRS,arcsum_covered,,train,1987-10,2018-12,False,1193.4312608042,1129.2539968792,0.9462245828203345,18,2,375,0.8588353060352152,0.901337520982872,3.980880804808871,0.953380902153548,0.8728410862741243,1.0398088080480887,0.09937408390023786,-0.35117530514579887,2293.2356042818947,2205.43967942214,registry entity cdec_YRS omits the Deer Creek arcs I_DER001/I_DER004 (64 mi2); scored on its covered arcs as well
UF10,Bear R. near Wheatland (uf_10: DWR UF 10 monthly),uf_10,arcsum,,WY1950-84,1949-10,1984-09,True,281.9647162872,281.9647162872,1.0,5,0,420,0.8455028388709763,0.9322628550929698,-4.091339048982355,0.9734720229616816,0.853399407539365,0.9590866095101765,0.02931701852672648,-0.18589922882835896,367.86589034573905,383.55857197674254,CalSim3 arcs carry Jul-Sep baseflow the DWR unimpaired series does not; low-flow months disagree by construction
UF10,Bear R. near Wheatland (uf_10: DWR UF 10 monthly),uf_10,arcsum,,train,1984-10,2014-09,True,281.9647162872,281.9647162872,1.0,5,0,360,0.8105702850636456,0.9306735740336702,-7.30295360540808,0.9776620381447934,0.8266468367039426,0.9269704639459193,0.05083095879681971,-0.24632627574564658,302.95650432708817,326.8243337953463,CalSim3 arcs carry Jul-Sep baseflow the DWR unimpaired series does not; low-flow months disagree by construction
UF3,Cache Creek above Rumsey (uf_03: DWR UF 3 monthly),uf_03,arcsum,,WY1950-84,1949-10,1984-09,True,953.3664189313,953.3664189313,1.0,4,0,420,0.872422303425097,0.9351228224725808,-9.781370247070864,0.9699867969213222,0.9237913658875337,0.9021862975292914,0.030111024438164036,-0.24594551842805235,647.5669032514879,717.7751480208701,the arcs are the Clear Lake / Indian Valley inflows while the DWR record is the routed outflow at Rumsey
UF3,Cache Creek above Rumsey (uf_03: DWR UF 3 monthly),uf_03,arcsum,,train,1984-10,2014-09,True,953.3664189313,953.3664189313,1.0,4,0,360,0.8990198948345054,0.9438159024986313,7.131156448172069,0.9764642260547,1.067510812135535,1.0713115644817206,0.03740622728976939,-0.25323681606421555,651.8498017195882,608.4595960045855,the arcs are the Clear Lake / Indian Valley inflows while the DWR record is the routed outflow at Rumsey
UF2,Putah Creek near Winters (uf_02: DWR UF 2 monthly),uf_02,arcsum,,WY1950-84,1949-10,1984-09,True,567.457149998,567.457149998,1.0,1,0,420,0.9229470306916867,0.9633752598975684,-6.858437686588755,0.9823202079569349,0.9696558361054423,0.9314156231341126,0.03797604708357832,-0.2290983341255659,395.623308848895,424.754855966089,
UF2,Putah Creek near Winters (uf_02: DWR UF 2 monthly),uf_02,arcsum,,train,1984-10,2014-09,True,567.457149998,567.457149998,1.0,1,0,360,0.9327956259200082,0.9579483170901052,-6.342059872230863,0.9792624532244741,0.9919869040365006,0.9365794012776913,0.06678686027687758,-0.2472828764182946,334.3426125045283,356.9826669777433,
UF13,Cosumnes R. at Michigan Bar (uf_13: DWR UF 13 monthly),uf_13,arcsum,,WY1950-84,1949-10,1984-09,True,539.113324191,539.113324191,1.0,4,0,420,0.7409516615751914,0.8728338075685946,-6.863936047800891,0.9573487959438088,0.7538789837775302,0.9313606395219911,0.0898876552393261,-0.34241576531247553,392.4418433869573,421.3639987925333,
UF13,Cosumnes R. at Michigan Bar (uf_13: DWR UF 13 monthly),uf_13,arcsum,,train,1984-10,2014-09,True,539.113324191,539.113324191,1.0,4,0,360,0.7882417045147213,0.8928041967828956,2.161589284665775,0.9594570281990059,0.7932861970723382,1.0216158928466577,0.11740813707380365,-0.4910566653198858,350.24977137353295,342.8390002798289,
UF14,Mokelumne R. at Pardee (cdec_MKM: CDEC MKM daily FNF),cdec_MKM,arcsum,,WY1950-84,1949-10,1984-09,True,543.8979574854,543.8979574854,1.0,8,0,420,0.8120695043142454,0.9090052455713551,3.0986333575778175,0.9650526454043596,0.817965935201703,1.0309863335757783,0.09551810238560582,-0.29788128090031396,836.4150579602747,811.2765714937555,
UF14,Mokelumne R. at Pardee (cdec_MKM: CDEC MKM daily FNF),cdec_MKM,arcsum,,train,1988-10,2018-12,True,543.8979574854,543.8979574854,1.0,8,0,363,0.7638727516113438,0.8110063073380988,-7.022693363005436,0.9096190573295947,0.7934678222975243,0.9297730663699456,0.16411138678278467,-0.7993867223487063,687.1871278431717,739.0912392484255,
UF16,Stanislaus R. at Melones (cdec_NML: CDEC NML daily FNF),cdec_NML,anchor,ST,WY1950-84,1949-10,1984-09,True,903.73538596551,903.73538596551,1.0,19,0,420,0.7919399070800242,0.8392617360934216,10.504702070480663,0.9246396185428505,0.836981784411846,1.1050470207048064,0.13907088576437027,-0.09629395714668032,1359.829503111384,1230.5625712144588,
