entity_id,family,timescale,site_id,name,delineation,arcs,area_mi2,area_mi2_swat,outlet_lat,outlet_lon,outlet_source,record_start,train_start,train_end,n_obs,obs_store,flags
usgs_11274500,usgs_daily,daily,11274500,ORESTIMBA C NR NEWMAN CA,usgs_gpkg,,134.95,,37.3154653,-121.125171,usgs_gauges:11274500,1950-01-01,1950-01-01,2014-12-31,23616,usgs/flow_daily.nc:flow_mm,
usgs_11274630,usgs_daily,daily,11274630,DEL PUERTO C NR PATTERSON CA,usgs_gpkg,,72.72,,37.48657227,-121.2090645,usgs_gauges:11274630,1965-06-18,1965-06-18,2014-12-31,17752,usgs/flow_daily.nc:flow_mm,
usgs_11275000,usgs_daily,daily,11275000,FALLS C NR HETCH HETCHY CA,usgs_gpkg,,46.15,,37.97075376,-119.7643429,usgs_gauges:11275000,1950-01-01,1950-01-01,1983-09-29,12233,usgs/flow_daily.nc:flow_mm,
usgs_11281000,usgs_daily,daily,11281000,SF TUOLUMNE R NR OAKLAND RECREATION CAMP CA,usgs_gpkg,,87.15,,37.82159266,-120.0129616,usgs_gauges:11281000,1950-01-01,1950-01-01,2002-09-30,18758,usgs/flow_daily.nc:flow_mm,
usgs_11282000,usgs_daily,daily,11282000,M TUOLUMNE R A OAKLAND RECREATION CAMP CA,usgs_gpkg,,72.34,,37.82825915,-120.0115727,usgs_gauges:11282000,1950-01-01,1950-01-01,2002-09-30,18619,usgs/flow_daily.nc:flow_mm,
usgs_11283500,usgs_daily,daily,11283500,CLAVEY R NR BUCK MEADOWS CA,usgs_gpkg,,144.23,,37.90048017,-120.0718517,usgs_gauges:11283500,1959-10-01,1959-10-01,1995-06-13,11915,usgs/flow_daily.nc:flow_mm,
usgs_11284400,usgs_daily,daily,11284400,BIG C AB WHITES GULCH NR GROVELAND CA,usgs_gpkg,,16.07,,37.8418518,-120.1848757,usgs_gauges:11284400,1969-05-01,1969-05-01,2014-12-31,16660,usgs/flow_daily.nc:flow_mm,
usgs_11292500,usgs_daily,daily,11292500,CLARK FORK STANISLAUS R NR DARDANELLE CA,usgs_gpkg,,67.49,,38.36380105,-119.8712915,usgs_gauges:11292500,1950-10-01,1950-10-01,1994-09-30,15732,usgs/flow_daily.nc:flow_mm,
usgs_11294000,usgs_daily,daily,11294000,HIGHLAND C BL SPICER MEADOWS RES CA,usgs_gpkg,,45.52,,38.3929682,-119.9990737,usgs_gauges:11294000,1952-10-01,1952-10-01,1980-12-31,10319,usgs/flow_daily.nc:flow_mm,
usgs_11294500,usgs_daily,daily,11294500,NF STANISLAUS R NR AVERY CA,usgs_gpkg,,165.53,,38.2438067,-120.2910282,usgs_gauges:11294500,1950-01-01,1950-01-01,1988-12-31,14245,usgs/flow_daily.nc:flow_mm,
