entity_id,key,lat,lon,overlap_mi2
uf_06,40.34375_-122.59375,40.34375,-122.59375,14.223663
uf_06,40.34375_-122.65625,40.34375,-122.65625,14.242688
uf_06,40.34375_-122.71875,40.34375,-122.71875,14.243956
uf_06,40.34375_-122.78125,40.34375,-122.78125,14.237618
uf_06,40.34375_-122.84375,40.34375,-122.84375,14.264113
uf_06,40.34375_-122.90625,40.34375,-122.90625,14.226554
uf_06,40.34375_-122.96875,40.34375,-122.96875,14.229253
uf_06,40.34375_-123.03125,40.34375,-123.03125,11.392688
uf_06,40.34375_-123.09375,40.34375,-123.09375,0.294271
uf_06,40.40625_-121.53125,40.40625,-121.53125,5.645483
uf_06,40.40625_-121.59375,40.40625,-121.59375,14.216266
uf_06,40.40625_-121.65625,40.40625,-121.65625,14.216266
uf_06,40.40625_-121.71875,40.40625,-121.71875,14.216266
uf_06,40.40625_-121.78125,40.40625,-121.78125,14.216266
uf_06,40.40625_-121.84375,40.40625,-121.84375,14.216266
uf_06,40.40625_-121.90625,40.40625,-121.90625,14.216266
uf_06,40.40625_-121.96875,40.40625,-121.96875,14.216266
uf_06,40.40625_-122.03125,40.40625,-122.03125,14.192142
uf_06,40.40625_-122.09375,40.40625,-122.09375,14.206273
uf_06,40.40625_-122.15625,40.40625,-122.15625,14.212566
uf_06,40.40625_-122.21875,40.40625,-122.21875,14.21507
uf_06,40.40625_-122.28125,40.40625,-122.28125,14.216266
uf_06,40.40625_-122.34375,40.40625,-122.34375,14.198393
uf_06,40.40625_-122.40625,40.40625,-122.40625,14.216266
uf_06,40.40625_-122.46875,40.40625,-122.46875,14.216266
uf_06,40.40625_-122.53125,40.40625,-122.53125,14.216266
uf_06,40.40625_-122.59375,40.40625,-122.59375,14.216266
uf_06,40.40625_-122.65625,40.40625,-122.65625,14.216266
uf_06,40.40625_-122.71875,40.40625,-122.71875,14.216266
uf_06,40.40625_-122.78125,40.40625,-122.78125,14.216266
uf_06,40.40625_-122.84375,40.40625,-122.84375,14.216266
uf_06,40.40625_-122.90625,40.40625,-122.90625,14.212359
uf_06,40.40625_-122.96875,40.40625,-122.96875,10.550456
uf_06,40.40625_-123.03125,40.40625,-123.03125,0.855263
uf_06,40.46875_-121.21875,40.46875,-121.21875,1.335063
uf_06,40.46875_-121.28125,40.46875,-121.28125,7.718689
