basin,date,sim_mm,obs_mm,cal_start,cal_end
BearRiver,1966-05-31,6.055942,16.873897,1951-10,2010-09
BearRiver,1966-06-30,0.278666,3.374779,1951-10,2010-09
BearRiver,1966-07-31,0.0,1.68739,1951-10,2010-09
BearRiver,1966-08-31,0.0,0.0,1951-10,2010-09
BearRiver,1966-09-30,0.0,1.68739,1951-10,2010-09
BearRiver,1966-10-31,0.0,0.0,1951-10,2010-09
BearRiver,1966-11-30,40.97485,55.683859,1951-10,2010-09
BearRiver,1966-12-31,102.32168,113.055107,1951-10,2010-09
BearRiver,1967-01-31,183.220318,192.362421,1951-10,2010-09
BearRiver,1967-02-28,80.295192,65.808197,1951-10,2010-09
BearRiver,1967-03-31,136.937986,126.554224,1951-10,2010-09
BearRiver,1967-04-30,148.12671,138.365952,1951-10,2010-09
BearRiver,1967-05-31,60.623594,67.495586,1951-10,2010-09
BearRiver,1967-06-30,22.982638,23.623455,1951-10,2010-09
BearRiver,1967-07-31,0.173303,0.0,1951-10,2010-09
BearRiver,1967-08-31,0.0,0.0,1951-10,2010-09
BearRiver,1967-09-30,0.761079,0.0,1951-10,2010-09
BearRiver,1967-10-31,5.409855,8.436948,1951-10,2010-09
BearRiver,1967-11-30,8.974732,6.749559,1951-10,2010-09
BearRiver,1967-12-31,31.190347,25.310845,1951-10,2010-09
BearRiver,1968-01-31,58.605362,50.62169,1951-10,2010-09
BearRiver,1968-02-29,117.836875,126.554224,1951-10,2010-09
BearRiver,1968-03-31,68.160417,53.996469,1951-10,2010-09
BearRiver,1968-04-30,19.689783,16.873897,1951-10,2010-09
BearRiver,1968-05-31,8.440316,6.749559,1951-10,2010-09
BearRiver,1968-06-30,1.395025,0.0,1951-10,2010-09
BearRiver,1968-07-31,2e-06,0.0,1951-10,2010-09
BearRiver,1968-08-31,2.64639,0.0,1951-10,2010-09
BearRiver,1968-09-30,0.0,0.0,1951-10,2010-09
BearRiver,1968-10-31,8.958204,6.749559,1951-10,2010-09
BearRiver,1968-11-30,25.236843,23.623455,1951-10,2010-09
BearRiver,1968-12-31,82.844715,69.182976,1951-10,2010-09
BearRiver,1969-01-31,386.874734,408.348296,1951-10,2010-09
BearRiver,1969-02-28,241.668977,204.174148,1951-10,2010-09
BearRiver,1969-03-31,126.916205,113.055107,1951-10,2010-09
BearRiver,1969-04-30,83.220759,79.307314,1951-10,2010-09
BearRiver,1969-05-31,21.623209,32.060403,1951-10,2010-09
BearRiver,1969-06-30,2.722449,8.436948,1951-10,2010-09
BearRiver,1969-07-31,0.017383,0.0,1951-10,2010-09
BearRiver,1969-08-31,0.0,0.0,1951-10,2010-09
BearRiver,1969-09-30,0.0,0.0,1951-10,2010-09
BearRiver,1969-10-31,8.874328,11.811728,1951-10,2010-09
BearRiver,1969-11-30,9.673003,8.436948,1951-10,2010-09
BearRiver,1969-12-31,108.727284,106.305548,1951-10,2010-09
BearRiver,1970-01-31,349.445567,332.415762,1951-10,2010-09
BearRiver,1970-02-28,80.303785,77.619924,1951-10,2010-09
BearRiver,1970-03-31,99.848329,69.182976,1951-10,2010-09
BearRiver,1970-04-30,30.397928,15.186507,1951-10,2010-09
BearRiver,1970-05-31,10.089039,5.062169,1951-10,2010-09
BearRiver,1970-06-30,2.989589,0.0,1951-10,2010-09
BearRiver,1970-07-31,0.085995,0.0,1951-10,2010-09
BearRiver,1970-08-31,0.0,0.0,1951-10,2010-09
BearRiver,1970-09-30,0.0,0.0,1951-10,2010-09
BearRiver,1970-10-31,5.832963,18.561286,1951-10,2010-09
BearRiver,1970-11-30,46.35002,72.557755,1951-10,2010-09
BearRiver,1970-12-31,182.342476,214.298486,1951-10,2010-09
BearRiver,1971-01-31,108.930437,92.806431,1951-10,2010-09
BearRiver,1971-02-28,44.872722,45.559521,1951-10,2010-09
BearRiver,1971-03-31,120.604237,119.804665,1951-10,2010-09
BearRiver,1971-04-30,38.376847,52.309079,1951-10,2010-09
BearRiver,1971-05-31,24.585197,30.373014,1951-10,2010-09
BearRiver,1971-06-30,7.882789,11.811728,1951-10,2010-09
BearRiver,1971-07-31,0.256788,0.0,1951-10,2010-09
BearRiver,1971-08-31,0.016921,0.0,1951-10,2010-09
BearRiver,1971-09-30,0.315074,0.0,1951-10,2010-09
BearRiver,1971-10-31,3.560178,1.68739,1951-10,2010-09
BearRiver,1971-11-30,13.328586,8.436948,1951-10,2010-09
BearRiver,1971-12-31,54.155105,57.371248,1951-10,2010-09
BearRiver,1972-01-31,42.008666,35.435183,1951-10,2010-09
BearRiver,1972-02-29,82.347825,74.245145,1951-10,2010-09
BearRiver,1972-03-31,37.499113,47.24691,1951-10,2010-09
BearRiver,1972-04-30,49.148547,37.122572,1951-10,2010-09
BearRiver,1972-05-31,10.872171,13.499117,1951-10,2010-09
BearRiver,1972-06-30,1.311058,1.68739,1951-10,2010-09
BearRiver,1972-07-31,1e-05,0.0,1951-10,2010-09
BearRiver,1972-08-31,0.0,0.0,1951-10,2010-09
BearRiver,1972-09-30,4.570441,0.0,1951-10,2010-09
BearRiver,1972-10-31,5.296767,1.68739,1951-10,2010-09
BearRiver,1972-11-30,38.502923,57.371248,1951-10,2010-09
BearRiver,1972-12-31,57.267182,64.120807,1951-10,2010-09
BearRiver,1973-01-31,224.731576,251.421059,1951-10,2010-09
BearRiver,1973-02-28,168.488252,183.925472,1951-10,2010-09
BearRiver,1973-03-31,131.468879,134.991172,1951-10,2010-09
BearRiver,1973-04-30,45.530308,47.24691,1951-10,2010-09
BearRiver,1973-05-31,14.246328,18.561286,1951-10,2010-09
BearRiver,1973-06-30,0.652761,1.68739,1951-10,2010-09
BearRiver,1973-07-31,0.000924,0.0,1951-10,2010-09
BearRiver,1973-08-31,0.008988,0.0,1951-10,2010-09
BearRiver,1973-09-30,2.702533,0.0,1951-10,2010-09
BearRiver,1973-10-31,9.988719,8.436948,1951-10,2010-09
BearRiver,1973-11-30,145.319015,133.303783,1951-10,2010-09
BearRiver,1973-12-31,170.754476,156.927238,1951-10,2010-09
BearRiver,1974-01-31,192.218698,202.486759,1951-10,2010-09
BearRiver,1974-02-28,73.897025,64.120807,1951-10,2010-09
BearRiver,1974-03-31,241.697426,226.110214,1951-10,2010-09
BearRiver,1974-04-30,128.799152,124.866834,1951-10,2010-09
BearRiver,1974-05-31,23.748988,28.685624,1951-10,2010-09
BearRiver,1974-06-30,2.493322,20.248676,1951-10,2010-09
BearRiver,1974-07-31,29.626128,15.186507,1951-10,2010-09
BearRiver,1974-08-31,0.024592,0.0,1951-10,2010-09
BearRiver,1974-09-30,0.0,0.0,1951-10,2010-09
BearRiver,1974-10-31,5.516962,0.0,1951-10,2010-09
BearRiver,1974-11-30,8.024248,5.062169,1951-10,2010-09
BearRiver,1974-12-31,13.483177,15.186507,1951-10,2010-09
BearRiver,1975-01-31,22.55099,32.060403,1951-10,2010-09
BearRiver,1975-02-28,155.05388,150.177679,1951-10,2010-09
BearRiver,1975-03-31,171.760987,151.865069,1951-10,2010-09
BearRiver,1975-04-30,96.090077,77.619924,1951-10,2010-09
BearRiver,1975-05-31,30.324448,35.435183,1951-10,2010-09
BearRiver,1975-06-30,3.152304,1.68739,1951-10,2010-09
BearRiver,1975-07-31,0.091554,0.0,1951-10,2010-09
BearRiver,1975-08-31,2.282285,0.0,1951-10,2010-09
BearRiver,1975-09-30,0.0,0.0,1951-10,2010-09
BearRiver,1975-10-31,17.237461,8.436948,1951-10,2010-09
BearRiver,1975-11-30,10.668086,26.998234,1951-10,2010-09
BearRiver,1975-12-31,8.261116,16.873897,1951-10,2010-09
BearRiver,1976-01-31,3.302313,8.436948,1951-10,2010-09
BearRiver,1976-02-29,14.017872,18.561286,1951-10,2010-09
BearRiver,1976-03-31,19.063523,18.561286,1951-10,2010-09
BearRiver,1976-04-30,11.229515,5.062169,1951-10,2010-09
BearRiver,1976-05-31,0.832589,0.0,1951-10,2010-09
BearRiver,1976-06-30,0.633896,0.0,1951-10,2010-09
BearRiver,1976-07-31,0.0,0.0,1951-10,2010-09
BearRiver,1976-08-31,4.621838,0.0,1951-10,2010-09
BearRiver,1976-09-30,2.007281,1.68739,1951-10,2010-09
BearRiver,1976-10-31,0.189278,0.0,1951-10,2010-09
BearRiver,1976-11-30,5.340927,1.68739,1951-10,2010-09
BearRiver,1976-12-31,0.370883,0.0,1951-10,2010-09
BearRiver,1977-01-31,11.808442,15.186507,1951-10,2010-09
BearRiver,1977-02-28,8.713454,8.436948,1951-10,2010-09
BearRiver,1977-03-31,5.709951,6.749559,1951-10,2010-09
BearRiver,1977-04-30,0.583716,0.0,1951-10,2010-09
BearRiver,1977-05-31,9.033682,1.68739,1951-10,2010-09
BearRiver,1977-06-30,0.023328,0.0,1951-10,2010-09
BearRiver,1977-07-31,0.0,0.0,1951-10,2010-09
BearRiver,1977-08-31,0.14832,0.0,1951-10,2010-09
BearRiver,1977-09-30,0.124001,0.0,1951-10,2010-09
BearRiver,1977-10-31,0.091114,0.0,1951-10,2010-09
BearRiver,1977-11-30,16.536007,5.062169,1951-10,2010-09
BearRiver,1977-12-31,57.519211,53.996469,1951-10,2010-09
BearRiver,1978-01-31,260.716328,271.669734,1951-10,2010-09
BearRiver,1978-02-28,131.877783,97.8686,1951-10,2010-09
BearRiver,1978-03-31,173.996472,138.365952,1951-10,2010-09
BearRiver,1978-04-30,138.687563,89.431652,1951-10,2010-09
BearRiver,1978-05-31,35.407127,30.373014,1951-10,2010-09
BearRiver,1978-06-30,5.411107,8.436948,1951-10,2010-09
BearRiver,1978-07-31,0.26096,0.0,1951-10,2010-09
BearRiver,1978-08-31,0.015919,0.0,1951-10,2010-09
BearRiver,1978-09-30,7.768225,6.749559,1951-10,2010-09
BearRiver,1978-10-31,7.9e-05,0.0,1951-10,2010-09
BearRiver,1978-11-30,16.956066,13.499117,1951-10,2010-09
BearRiver,1978-12-31,7.823769,8.436948,1951-10,2010-09
BearRiver,1979-01-31,68.279076,72.557755,1951-10,2010-09
BearRiver,1979-02-28,112.806713,104.618159,1951-10,2010-09
BearRiver,1979-03-31,126.67927,109.680328,1951-10,2010-09
BearRiver,1979-04-30,49.204564,42.184741,1951-10,2010-09
BearRiver,1979-05-31,36.725712,33.747793,1951-10,2010-09
BearRiver,1979-06-30,1.817987,0.0,1951-10,2010-09
BearRiver,1979-07-31,0.940151,0.0,1951-10,2010-09
BearRiver,1979-08-31,0.018424,0.0,1951-10,2010-09
BearRiver,1979-09-30,0.005009,0.0,1951-10,2010-09
BearRiver,1979-10-31,14.001042,6.749559,1951-10,2010-09
BearRiver,1979-11-30,15.949851,20.248676,1951-10,2010-09
BearRiver,1979-12-31,30.962741,53.996469,1951-10,2010-09
BearRiver,1980-01-31,241.309115,263.232786,1951-10,2010-09
BearRiver,1980-02-29,226.227742,244.6715,1951-10,2010-09
BearRiver,1980-03-31,110.752237,102.930769,1951-10,2010-09
BearRiver,1980-04-30,54.675831,40.497352,1951-10,2010-09
BearRiver,1980-05-31,28.441067,25.310845,1951-10,2010-09
BearRiver,1980-06-30,7.150874,10.124338,1951-10,2010-09
BearRiver,1980-07-31,4.856437,0.0,1951-10,2010-09
BearRiver,1980-08-31,0.0,0.0,1951-10,2010-09
BearRiver,1980-09-30,0.0,0.0,1951-10,2010-09
BearRiver,1980-10-31,0.630348,0.0,1951-10,2010-09
BearRiver,1980-11-30,1.982605,1.68739,1951-10,2010-09
BearRiver,1980-12-31,13.426187,13.499117,1951-10,2010-09
BearRiver,1981-01-31,45.337901,42.184741,1951-10,2010-09
BearRiver,1981-02-28,30.140029,23.623455,1951-10,2010-09
BearRiver,1981-03-31,82.524582,74.245145,1951-10,2010-09
BearRiver,1981-04-30,24.184791,15.186507,1951-10,2010-09
BearRiver,1981-05-31,11.494241,0.0,1951-10,2010-09
BearRiver,1981-06-30,0.726694,0.0,1951-10,2010-09
BearRiver,1981-07-31,0.0,0.0,1951-10,2010-09
BearRiver,1981-08-31,0.0,0.0,1951-10,2010-09
BearRiver,1981-09-30,2.139487,0.0,1951-10,2010-09
BearRiver,1981-10-31,13.723554,6.749559,1951-10,2010-09
BearRiver,1981-11-30,111.084471,123.179445,1951-10,2010-09
BearRiver,1981-12-31,214.081712,251.421059,1951-10,2010-09
BearRiver,1982-01-31,185.310023,170.426355,1951-10,2010-09
BearRiver,1982-02-28,202.067765,183.925472,1951-10,2010-09
BearRiver,1982-03-31,170.918089,165.364186,1951-10,2010-09
BearRiver,1982-04-30,296.362671,295.29319,1951-10,2010-09
BearRiver,1982-05-31,31.034,42.184741,1951-10,2010-09
BearRiver,1982-06-30,7.895841,10.124338,1951-10,2010-09
BearRiver,1982-07-31,1.778196,0.0,1951-10,2010-09
BearRiver,1982-08-31,0.0,0.0,1951-10,2010-09
BearRiver,1982-09-30,5.574035,0.0,1951-10,2010-09
