arc,node,entity,basis,system,tier1_set,sq_mi,cover_frac,n_cells,n_nan_cells,nan_weight_frac,has_series,window,win_start,win_end,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr
I_CAPLS,CAPLS,cdec_FOL,trained entity,FOLS,UF11,13.5972377226,1.000280185588894,5,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5871564967188663,0.710903509994111,23.879817930586558,0.9432954900044892,1.331963531593174,1.2387981793058656,0.09092091018288967,-0.2848997287681323,39.813911706878095,32.13914289831051
I_CAPLS,CAPLS,cdec_FOL,trained entity,FOLS,UF11,13.5972377226,1.000280185588894,5,0,0.0,True,train,1987-10,2018-12,375,0.6896872528431526,0.5990783122724272,-23.398265770818497,0.8031349405326589,0.9471770381295778,0.7660173422918151,0.1220668459088225,-0.7838972745049375,22.028452645602368,28.75712001466751
I_CCH053,CCH053,uf_03,trained entity,,UF3,248.025211085,0.999353414911753,34,0,0.0,True,WY1950-84,1949-10,1984-09,420,-0.38580519166855765,-0.46546909401124203,103.40121102839336,0.906205153781145,1.9178657373845454,2.0340121102839337,0.07521321639957575,-0.20303590165773766,133.63866366599544,65.70199999809265
I_CCH053,CCH053,uf_03,trained entity,,UF3,248.025211085,0.999353414911753,34,0,0.0,True,train,1984-10,2014-09,360,-1.135607896009677,-1.7717188672367095,156.33673257703387,0.9583022906240933,2.454291920917318,2.5633673257703387,0.05969693620525499,-0.40054824878758755,133.41387060895065,52.04633345666031
I_CFS001,CFS001,cdec_NML,trained entity,ST,UF16,67.2646813002,0.9976690656754202,12,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7933106353880661,0.8618954535735004,17.55053223390168,0.949644655183325,1.0968644130873486,1.1755053223390168,0.09970687783139608,-0.4274853894238255,135.11661228518562,114.94342876843044
I_CFS001,CFS001,cdec_NML,trained entity,ST,UF16,67.2646813002,0.9976690656754202,12,0,0.0,True,train,1987-10,2018-12,375,0.8679001694300876,0.7764794214920618,3.5429190800769788,0.8994946228103465,1.0780628389937728,1.0354291908007698,0.09611936335132286,-0.672148890240126,108.59117481283378,104.87552000427246
I_CLR011,CLR011,cdec_BND,trained entity,SRBB,UF6,28.3454815416,0.9985835241900818,4,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.48105655760517785,0.7027417816538748,-40.881916730251575,0.9232651161637944,0.6897082945786179,0.5911808326974842,0.13240377356173072,-0.7012858038946446,31.169418218263075,52.72399999174689
I_CLR011,CLR011,cdec_BND,trained entity,SRBB,UF6,28.3454815416,0.9985835241900818,4,0,0.0,True,train,1999-10,2018-12,231,0.8980429692401651,0.8676235182342055,-6.523553755119349,0.9330071479254965,0.9593611204301542,0.9347644624488065,0.12232669241513103,-0.5506982114022465,39.531553573199986,42.29038989098815
I_CLRLK,CLRLK,uf_03,trained entity,,UF3,489.454785185,0.9994423335537771,56,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7504391430603341,0.9089174165142255,-18.911851350662126,0.9700462470388027,0.8399450661521305,0.8108814864933788,0.029433577826421586,-0.18504086198124448,396.56738200665404,489.057141656535
I_CLRLK,CLRLK,uf_03,trained entity,,UF3,489.454785185,0.9994423335537771,56,0,0.0,True,train,1984-10,2014-09,360,0.8976070824643482,0.9610547363475327,-6.126322814670668,0.9829425350621556,0.9197493344052426,0.9387367718532934,0.03322557054862671,-0.20122124014702525,390.79111003560513,416.2946650785704
