set_id,name,entity_id,ref_kind,system,window,win_start,win_end,volume_scored,area_set_mi2,area_sim_mi2,cover_frac,n_arcs,n_arcs_missing,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr,note
UF14,Mokelumne R. at Pardee (cdec_MKM: CDEC MKM daily FNF),cdec_MKM,arcsum,,train,1988-10,2018-12,True,543.8979574854,543.8979574854,1.0,8,0,363,0.7560601708987138,0.8062306971125459,-7.2076209201125,0.9078260329467069,0.7859541635844817,0.9279237907988751,0.1668366246904676,-0.8031736035439101,685.8203444696373,739.0912392484255,
UF14,Mokelumne R. at Pardee (cdec_MKM: CDEC MKM daily FNF),cdec_MKM,arcsum,,trimmed,1949-10,1969-09,True,543.8979574854,543.8979574854,1.0,8,0,240,0.7868694091160329,0.8988581083588523,2.384179547131971,0.9638476155907508,0.7913154949192954,1.0238417954713197,0.10438873638043991,-0.25698711045921474,794.7776707428427,776.2700001683086,
UF16,Stanislaus R. at Melones (cdec_NML: CDEC NML daily FNF),cdec_NML,anchor,ST,WY1950-84,1949-10,1984-09,True,903.73538596551,903.73538596551,1.0,19,0,420,0.7890960079625224,0.8447746609048397,10.299098725888339,0.9284914151267534,0.8304126399456297,1.1029909872588832,0.13716719496712912,-0.11042430252225177,1357.2994253076658,1230.5625712144588,
UF16,Stanislaus R. at Melones (cdec_NML: CDEC NML daily FNF),cdec_NML,anchor,ST,train,1987-10,2018-12,True,903.73538596551,903.73538596551,1.0,19,0,375,0.7857479568690402,0.8842039828188397,3.614089390913722,0.9543383365894288,0.7938137097966529,1.0361408939091372,0.11560726795700701,-0.33583707594450996,1144.2519364356058,1104.340098110199,
UF16,Stanislaus R. at Melones (cdec_NML: CDEC NML daily FNF),cdec_NML,anchor,ST,trimmed,1949-10,1969-09,True,903.73538596551,903.73538596551,1.0,19,0,240,0.7616793358735409,0.8488520411870009,8.182613634508824,0.9358978195640277,0.7855422353378978,1.0818261363450883,0.1324149491240408,-0.12676462004130773,1266.2839839584617,1170.5060003787278,
UF15,Calaveras R. at Jenny Lind (cdec_NHG: CDEC NHG daily FNF),cdec_NHG,arcsum,,WY1950-84,1949-10,1984-09,True,361.610671554,361.610671554,1.0,1,0,420,0.785311224212579,0.8993856120761068,-17.478297310216565,0.9561103777906492,0.8833128806380515,0.8252170268978344,0.06124074639314564,-0.34078340022155373,147.2701166076062,178.46228544414043,
UF15,Calaveras R. at Jenny Lind (cdec_NHG: CDEC NHG daily FNF),cdec_NHG,arcsum,,train,1987-10,2018-12,True,361.610671554,361.610671554,1.0,1,0,375,0.879599957274734,0.9317752505406507,-9.754608171051954,0.9666620899790693,0.9377945662614038,0.9024539182894805,0.06106084858423012,-0.45402754041018234,138.36365651851975,153.31935926520822,
UF18,Tuolumne R. at Don Pedro (cdec_TLG: CDEC TLG daily FNF),cdec_TLG,anchor,TU,WY1950-84,1949-10,1984-09,True,1531.573174657,1531.573174657,1.0,4,0,420,0.8505573911639176,0.9066409903588238,-6.7065803473479635,0.9577990346701544,0.8732942390203977,0.9329341965265203,0.07300458657402409,-0.024323906283265195,1867.0302696593083,2001.2454003836428,
UF18,Tuolumne R. at Don Pedro (cdec_TLG: CDEC TLG daily FNF),cdec_TLG,anchor,TU,train,1986-10,2018-12,True,1531.573174657,1531.573174657,1.0,4,0,387,0.8488942503045044,0.933004780392093,-5.759589575014011,0.9733265845584114,0.8628716320652171,0.9424041042498599,0.05800731536991839,-0.2753307025709768,1705.7591128851273,1810.008153819414,
UF18,Tuolumne R. at Don Pedro (cdec_TLG: CDEC TLG daily FNF),cdec_TLG,anchor,TU,trimmed,1949-10,1969-09,True,1531.573174657,1531.573174657,1.0,4,0,240,0.8175331056911908,0.8891995240483316,-7.683651413584996,0.9516836431400558,0.8417096109236697,0.9231634858641501,0.07915922634649877,-0.023194311742686047,1754.5045178471585,1900.5350024268032,
UF19,Merced R. at Exchequer (cdec_MRC: CDEC MRC daily FNF),cdec_MRC,anchor,ME,WY1950-84,1949-10,1984-09,True,1036.0761981327,1036.0761981327,1.0,1,0,420,0.8585993905747064,0.9219786326131656,7.0408064819056335,0.965497924774198,0.8823290878789788,1.0704080648190564,0.0725733004117656,-0.37184412708440195,1097.664934051974,1025.463998384135,
UF19,Merced R. at Exchequer (cdec_MRC: CDEC MRC daily FNF),cdec_MRC,anchor,ME,train,1988-10,2018-12,True,1036.0761981327,1036.0761981327,1.0,1,0,363,0.845281603106286,0.9160085958500226,3.730916079280403,0.9637275149469468,0.8542944212242594,1.037309160792804,0.09533927439353788,-0.5875547925962286,996.4883268577041,960.6473793175594,
UF19,Merced R. at Exchequer (cdec_MRC: CDEC MRC daily FNF),cdec_MRC,anchor,ME,trimmed,1964-10,1984-09,True,1036.0761981327,1036.0761981327,1.0,1,0,240,0.8503692624068204,0.9256519360049131,1.0923030667002258,0.9689974894581642,0.8540243534906249,1.0109230306670023,0.06373634324616968,-0.33606072724737146,1173.4743987100467,1160.794999334216,
UF20,Chowchilla R. at Buchanan (uf_20: DWR UF 20 monthly),uf_20,arcsum,,WY1950-84,1949-10,1984-09,True,234.811659592,234.811659592,1.0,1,0,420,0.6123005916946616,0.834271676505724,-26.94061024479701,0.9489267880104418,0.7259147756970962,0.73059389755203,0.09410065672235748,-0.4515745383461338,57.16417125667766,78.24342832347112,
UF20,Chowchilla R. at Buchanan (uf_20: DWR UF 20 monthly),uf_20,arcsum,,train,1984-10,2014-09,True,234.811659592,234.811659592,1.0,1,0,360,0.8093854563514196,0.8690615248119533,-11.513409671654196,0.9362572450277783,0.8621054561914293,0.884865903283458,0.0972972993767954,-0.7019479424964592,53.66593714824475,60.6486665935566,
UF20,Chowchilla R. at Buchanan (uf_20: DWR UF 20 monthly),uf_20,arcsum,,trimmed,1964-10,1984-09,True,234.811659592,234.811659592,1.0,1,0,240,0.6079608011122601,0.8420045792050714,-28.805441685345578,0.954195363834892,0.7380432827707248,0.7119455831465442,0.10078716988632147,-0.47614731885039685,66.93676751530631,94.01949966382234,
UF22,San Joaquin R. at Millerton (cdec_MIL: CDEC SBF daily FNF),cdec_MIL,anchor,SJ,WY1950-84,1949-10,1984-09,True,1637.79925007,1637.79925007,1.0,1,0,420,0.827739725811816,0.8949529364506006,-7.68073418703166,0.9535245736429718,0.8529820791769348,0.9231926581296833,0.053030641823914024,-0.3769220991700628,1734.4255153146505,1878.7254210063388,
UF22,San Joaquin R. at Millerton (cdec_MIL: CDEC SBF daily FNF),cdec_MIL,anchor,SJ,train,1987-10,2018-12,True,1637.79925007,1637.79925007,1.0,1,0,375,0.8713158762375697,0.9117197616755106,1.4131644878230025,0.9581672480827891,0.8791284930656809,1.01413164487823,0.08149825373565867,-0.4408612109489285,1694.879044882616,1671.2613726654054,
UF22,San Joaquin R. at Millerton (cdec_MIL: CDEC SBF daily FNF),cdec_MIL,anchor,SJ,trimmed,1949-10,1969-09,True,1637.79925007,1637.79925007,1.0,1,0,240,0.8403129474077397,0.8826542775105081,-4.1906630011210675,0.9442264978037931,0.8563577166030959,0.9580933699887894,0.0521244019709321,-0.3167175117331835,1702.9965894509537,1777.4849955081938,
UF21,Fresno R. near Daulton (uf_21: DWR UF 21 monthly),uf_21,arcsum,,WY1950-84,1949-10,1984-09,True,343.684922793,343.684922793,1.0,4,0,420,0.8027312357263173,0.8878361947885511,-1.5133174259140207,0.9532681042046007,0.8089448186772308,0.9848668257408597,0.10274467920470921,-0.19617924433164813,93.74806607167194,95.1885713087661,the three below-dam arcs may lie outside the Daulton gauge basin
UF21,Fresno R. near Daulton (uf_21: DWR UF 21 monthly),uf_21,arcsum,,train,1984-10,2014-09,True,343.684922793,343.684922793,1.0,4,0,360,0.7715807697744881,0.8813806496748998,-0.7684129769270528,0.9559035406651006,0.7760093726053923,0.9923158702307295,0.11810483098948076,-0.3275408724138673,68.45623334757067,68.9863332848375,the three below-dam arcs may lie outside the Daulton gauge basin
UF21,Fresno R. near Daulton (uf_21: DWR UF 21 monthly),uf_21,arcsum,,trimmed,1964-10,1984-09,True,343.684922793,343.684922793,1.0,4,0,240,0.8013889647477688,0.8942253140940852,-5.010581631412884,0.9569130148131113,0.8127054133111087,0.9498941836858711,0.10703977550207944,-0.2229521532917218,107.73747297880996,113.42049970319496,the three below-dam arcs may lie outside the Daulton gauge basin
