entity_id,family,timescale,site_id,name,area_mi2,n_obs,n_scored,kge,nse,pbias,r,alpha,beta
usgs_11266500,usgs_daily,daily,11266500,MERCED R A POHONO BRIDGE NR YOSEMITE CA,321.99,23505,23505,0.9193591487398167,0.874433327626466,5.054364869280163,0.9386024397029519,1.0133651059986815,1.0505436486928017
usgs_11268000,usgs_daily,daily,11268000,SF MERCED R NR EL PORTAL CA,240.58,8956,8956,0.6372419679679566,0.7120264311587601,11.946516231658222,0.8652267670274664,0.6851069380399675,1.1194651623165823
usgs_11269300,usgs_daily,daily,11269300,MAXWELL C A COULTERVILLE CA,17.06,7304,7304,0.7676097820130843,0.6438490242061398,8.81881764959311,0.8081963302896591,0.9028433675553996,1.0881881764959311
usgs_11274500,usgs_daily,daily,11274500,ORESTIMBA C NR NEWMAN CA,134.95,23616,23616,0.4130667506574065,0.46813593216289573,-27.557405830286005,0.6947611391473509,0.5812174604884727,0.7244259416971399
usgs_11274630,usgs_daily,daily,11274630,DEL PUERTO C NR PATTERSON CA,72.72,17752,17752,0.08445515331667341,0.34641713611671276,-64.27012597692372,0.6195104448257706,0.4704859252269601,0.35729874023076275
usgs_11275000,usgs_daily,daily,11275000,FALLS C NR HETCH HETCHY CA,46.15,12233,12233,0.8573670345952582,0.7540215249171529,-6.597134026358635,0.8753357397601536,0.9787687187662113,0.9340286597364136
usgs_11281000,usgs_daily,daily,11281000,SF TUOLUMNE R NR OAKLAND RECREATION CAMP CA,87.15,18758,18758,0.7567146450941074,0.6780338816998699,-3.9495045958793473,0.8238034154642296,0.8369580763903712,0.9605049540412064
usgs_11282000,usgs_daily,daily,11282000,M TUOLUMNE R A OAKLAND RECREATION CAMP CA,72.34,18619,18619,0.7665841236994235,0.6373291711660267,-8.342441345987902,0.8054796108587272,0.9015868059843144,0.916575586540121
usgs_11283500,usgs_daily,daily,11283500,CLAVEY R NR BUCK MEADOWS CA,144.23,11915,11915,0.5860996383069588,0.6799954763442454,-2.894990725670598,0.8622420831066164,0.6107723434638103,0.971050092743294
usgs_11284400,usgs_daily,daily,11284400,BIG C AB WHITES GULCH NR GROVELAND CA,16.07,16660,16660,0.709988080711363,0.5759343697026886,7.585342411615162,0.7638867583083996,0.849654702510461,1.0758534241161517
usgs_11292500,usgs_daily,daily,11292500,CLARK FORK STANISLAUS R NR DARDANELLE CA,67.49,15732,15732,0.8473382199202488,0.8188703632229768,12.569764635960635,0.9134615097505583,1.0041000612338071,1.1256976463596062
usgs_11294000,usgs_daily,daily,11294000,HIGHLAND C BL SPICER MEADOWS RES CA,45.52,10319,10319,0.7551786292806254,0.7421499490790011,20.912717376610438,0.8855817650867402,1.0557834767009837,1.2091271737661042
usgs_11294500,usgs_daily,daily,11294500,NF STANISLAUS R NR AVERY CA,165.53,14245,14245,0.7393425306565673,0.740880999885837,10.198725121886367,0.8647004521128294,0.801921860734532,1.1019872512188638
usgs_11299600,usgs_daily,daily,11299600,BLACK C NR COPPEROPOLIS CA,14.39,11402,11402,0.6693829303120475,0.5492847067022955,-18.644536027862795,0.7532942290316068,0.8830297603212178,0.813554639721372
usgs_11315000,usgs_daily,daily,11315000,COLE C NR SALT SPRINGS DAM CA,20.79,22925,22925,0.6282183395137184,0.6180802960466752,-5.420439362443623,0.7925025115509508,0.696308908472638,0.9457956063755638
usgs_11316800,usgs_daily,daily,11316800,FOREST C NR WILSEYVILLE CA,21.05,20159,20159,0.7624831520740716,0.7000555025175541,6.519877898116413,0.8372782143026071,0.8397346178131857,1.065198778981164
usgs_11318500,usgs_daily,daily,11318500,SF MOKELUMNE R NR WEST POINT CA,74.93,23998,23998,0.7525573492061963,0.718167186743691,18.22784506481134,0.8540544188329247,0.9181323067444046,1.1822784506481132
usgs_11334300,usgs_daily,daily,11334300,SF COSUMNES R NR RIVER PINES CA,64.12,8400,8400,0.848774362225192,0.7674177116585896,-7.408334270672891,0.8790718890393063,0.9474905357742724,0.9259166572932711
