basin,key,Kpet,uztwm,uzfwm,lztwm,lzfpm,lzfsm,uzk,lzpk,lzsk,zperc,rexp,pfree,pctim,adimp,riva,side,rserv,SCF,PXTEMP,MFMAX,MFMIN,UADJ,MBASE,TIPM,PLWHC,NMF,DAYGM,Nres,Kres,Velo,Diff
SHA,41.40625_-120.96875,0.9770846283573628,1.0000000000000002,670.870144827488,3085.0424227556587,2335.8737170948825,4644.584117477999,0.17962721557566272,0.20464089188737225,0.06215479765266108,77.24484762634961,9.643605383443218,0.09168367117501502,0.020224036233179428,0.322696614455823,0.4481234796444919,0.0,0.1601840048786478,1.0000000000000002,0.0,0.9051857442060001,0.05,0.063403385992,0.0,1.0000000000000002,0.020000000000000004,0.3,0.13449704412600003,5.706902064712,0.8723449901260001,3.895188229275,3476.270897516235
SHA,41.34375_-121.21875,1.833083575001,25.87357399411886,942.4567877586207,4902.029268695928,4755.147006561332,4846.192731525227,0.009999999999999998,0.4256104359751962,0.353988643224208,496.7093110800256,7.856423810305259,0.5429396807351865,0.04709872147999433,0.17581104205006792,0.7546666060652475,0.0,0.39004061101336585,1.0,0.0,0.905185744206,0.05,0.063403385992,0.0,1.0,0.019999999999999997,0.3,0.134497044126,5.706902064711999,0.872344990126,3.8951882292749995,3476.2708975162345
SHA,41.34375_-121.15625,1.4815293407543102,285.1945554733613,653.8115221169078,3526.021613180026,4366.958754977844,4750.553519709166,0.042375495757167,0.3847963286585807,0.24297050973910145,382.5678467328271,6.466684158249924,0.5769133523335681,0.060044430134653354,0.27689701351174845,0.5679298956959513,0.0,0.24073083031623435,1.0,0.0,0.905185744206,0.05,0.063403385992,0.0,1.0,0.02,0.3,0.134497044126,5.706902064712,0.8723449901260001,3.895188229275,3476.2708975162345
SHA,41.34375_-121.09375,1.8330835750009995,36.523666037682176,805.2508746877509,4042.513004694192,3712.553168105178,4762.384613123394,0.08464353856309287,0.33067945508985486,0.22288896947715156,311.2381092438388,8.516646639686185,0.35176814734085116,0.03629534816784262,0.24731350294510157,0.6133365937915785,0.0,0.2809252298807451,0.9999999999999998,0.0,0.9051857442059998,0.049999999999999996,0.06340338599199999,0.0,0.9999999999999998,0.019999999999999997,0.29999999999999993,0.134497044126,5.706902064711999,0.8723449901259999,3.8951882292749995,3476.270897516234
SHA,41.34375_-121.03125,1.833083575001,167.89731131491112,757.4243541750354,3975.790851518985,4321.832728355128,4776.640535323351,0.043492545316731586,0.3832093106623848,0.26598266770227225,395.33135818477973,7.24950480937344,0.5201475387780423,0.05175192111366837,0.2456526908617394,0.623660603834772,0.0,0.2861275847815365,1.0,0.0,0.9051857442059998,0.05,0.063403385992,0.0,1.0,0.019999999999999997,0.3,0.134497044126,5.706902064712,0.8723449901259999,3.895188229275,3476.270897516235
SHA,41.34375_-120.96875,1.8199324775990742,15.20366882419706,786.6078086450931,3884.1924866965746,3397.4176847283425,4743.244743682268,0.1067649053022673,0.30251103192974416,0.1892404934367927,259.50997043757434,8.873379918424433,0.28387952976903924,0.03139931102407198,0.2617701337327778,0.5835062290990408,0.0,0.2583880884818392,1.0,0.0,0.905185744206,0.05,0.06340338599199999,0.0,1.0,0.02,0.3,0.134497044126,5.706902064711999,0.8723449901259999,3.8951882292749995,3476.270897516235
SHA,41.28125_-121.34375,1.833083575001,466.4470307410477,955.76654028148,186.44011247488166,199.8378228678747,4113.337243748845,0.8631566594835709,0.033733780137370814,0.021208411563384565,360.5492189959818,9.892228264692058,0.43292051020934685,0.001461532381837538,0.5040973319734331,0.8116284040557202,0.0,0.14088288384477665,1.0,0.0,0.9051857442060001,0.05,0.063403385992,0.0,1.0,0.019999999999999997,0.3,0.134497044126,5.706902064712,0.8723449901260001,3.8951882292750004,3476.2708975162354
SHA,41.28125_-121.28125,1.7745461695680858,80.09952035560815,942.4718432029152,4042.0985112513004,3883.0482709102203,4621.188035136548,0.15436250763838288,0.35704260718091213,0.28635393084349825,455.28545290357,8.359685345256894,0.4958480177856536,0.040547869878094674,0.25707373489333535,0.7738809378483208,0.0,0.34407586423425,0.9999999999999998,0.0,0.9051857442059998,0.049999999999999996,0.06340338599199999,0.0,0.9999999999999998,0.019999999999999997,0.29999999999999993,0.13449704412599994,5.706902064711999,0.8723449901259999,3.895188229274999,3476.270897516234
SHA,41.28125_-121.21875,1.202572133628641,637.1300391360779,387.28732988525053,2440.960121950563,4865.1915114602625,4668.987097316164,0.012712310635547258,0.42455152552186887,0.2183503152009205,409.3000877391448,3.8559294037287386,0.8167385876444063,0.09003327646136951,0.35510755855958914,0.45529536582810165,0.0,0.14092902564947515,1.0,0.0,0.9051857442059998,0.05,0.06340338599200002,0.0,1.0,0.02,0.3,0.13449704412600003,5.706902064712001,0.872344990126,3.895188229275,3476.2708975162345
SHA,41.28125_-121.15625,2.0842900178108206,751.5753595946388,209.64923743603154,1531.4927844056615,4282.728224151599,4626.315940097733,0.05676178253601207,0.3671576484406292,0.11897600438106017,285.3923589343687,3.5383521387330257,0.753164519685746,0.09010498612955033,0.41842268955742973,0.31201584140942445,0.0,0.03378348721323207,1.0,0.0,0.905185744206,0.05,0.063403385992,0.0,1.0,0.02,0.3,0.134497044126,5.706902064712,0.8723449901260001,3.895188229275,3476.270897516235
