basin,lat,lon,area_weight,elev,flowlen,soil_class,veg_class,key
SHA,41.34375,-122.21875,0.22003187,2047.671274574906,103887.39355994202,6,3,41.34375_-122.21875
SHA,41.34375,-122.15625,0.22004119999999996,1953.9677811246258,101092.33632456105,6,3,41.34375_-122.15625
SHA,41.34375,-122.09375,0.22004168999999998,1554.0577441483929,101708.99255045714,6,16,41.34375_-122.09375
SHA,41.34375,-121.90625,0.22003417,1400.594933641443,124997.64089004904,1,3,41.34375_-121.90625
SHA,41.34375,-121.84375,0.22005117,1593.5804635803572,128475.39933775403,1,3,41.34375_-121.84375
SHA,41.34375,-121.78125,0.22002849,1455.1738064466108,171647.4561808337,6,3,41.34375_-121.78125
SHA,41.34375,-121.71875,0.22005765000000002,1399.512956991043,233755.8491792946,6,3,41.34375_-121.71875
SHA,41.28125,-122.28125,0.22025728,1124.2592790576548,91046.89197782704,6,3,41.28125_-122.28125
SHA,41.28125,-122.21875,0.22025258,1420.589411710864,94294.9240637726,6,3,41.28125_-122.21875
SHA,41.28125,-122.15625,0.22026891,1242.1997114345368,94369.06053287319,6,16,41.28125_-122.15625
SHA,41.28125,-121.84375,0.22025164,1255.6455817082679,126137.85832382452,6,3,41.28125_-121.84375
SHA,41.28125,-121.78125,0.22025656999999998,1373.5393155809156,136519.67490295524,6,3,41.28125_-121.78125
SHA,41.28125,-121.71875,0.22025044,1422.5861286815136,228318.45090974623,6,3,41.28125_-121.71875
SHA,41.59375,-121.71875,0.02646241,2000.0,274783.0,6,7,41.59375_-121.71875
SHA,41.59375,-121.65625,0.08824691,2089.3085972075396,260063.43828356144,1,3,41.59375_-121.65625
SHA,41.53125,-121.65625,0.21940361,1829.380470768006,250710.6970515207,6,2,41.53125_-121.65625
SHA,41.65625,-120.34375,0.21898328,1747.34481687369,388794.48406777903,6,9,41.65625_-120.34375
SHA,41.65625,-120.28125,0.06583554999999999,2128.5672558367023,394949.59123513056,6,3,41.65625_-120.28125
SHA,41.59375,-120.40625,0.21919673999999997,1475.4493521664604,375202.19039548683,8,2,41.59375_-120.40625
SHA,41.59375,-120.34375,0.21919276999999998,1713.6199996012642,382117.0527808924,6,2,41.59375_-120.34375
SHA,41.59375,-120.28125,0.15338297,2093.486888211905,392883.20008603303,6,2,41.59375_-120.28125
SHA,41.46875,-120.34375,0.21962568,1730.6964697388757,380703.5597922793,6,2,41.46875_-120.34375
SHA,41.40625,-120.34375,0.2198299,1736.59223017433,377229.8043479982,6,12,41.40625_-120.34375
SHA,41.40625,-120.28125,0.21984202000000003,2071.3409833570486,387154.82906939264,6,6,41.40625_-120.28125
