key,sand_0_5,sand_5_15,sand_15_30,sand_30_60,sand_60_100,sand_100_200,clay_0_5,clay_5_15,clay_15_30,clay_30_60,clay_60_100,clay_100_200,ksat_0_5,ksat_5_15,ksat_15_30,ksat_30_60,ksat_60_100,ksat_100_200,theta_s_0_5,theta_s_5_15,theta_s_15_30,theta_s_30_60,theta_s_60_100,theta_s_100_200,polaris_gapfill,EVC,EVH,EVC_cover_pct,EVH_height_m,dem_elev,slope_deg,aspect_sin,aspect_cos,curvature,relief_m,lai_mean,lai_min,lai_max,lai_amp,lai_peak_doy
37.34375_-119.03125,66.23075794468265,64.74043323584563,62.04738657573271,64.32646445550863,73.95770767031337,79.12030878010586,7.724052154100859,8.809563468193867,11.177429565311183,12.361360281176822,7.904885311803874,6.108238970386911,1.1133564456680116,0.9823749629703499,0.6984121601080754,0.48933642183447024,0.40087295530815803,0.35613970836547354,0.475923615623508,0.46763160101760776,0.46242732955859256,0.4666986200936447,0.44756576824470384,0.44457348052566575,0.0,156.76923076923077,137.68047337278105,26.869822485207102,6.018343195266272,2149.3363600510816,6.2696889133549645,0.07936133605783746,-0.9968459150436014,2.7768393337053655e-05,109.62318751091134,0.795306714496558,0.4136390532544379,1.1329289940828402,0.7192899408284024,201
37.34375_-118.96875,60.67439175216404,59.34416418809157,57.22074499638123,58.280439929849294,66.96442289183126,71.51574196900137,10.045686415666658,11.282019434595954,14.103162926329663,16.23043462228493,11.337862631272987,9.218569555931543,0.9807445269364578,0.8904472714697821,0.642548470697283,0.3674677989980173,0.2505952152781762,0.17738163672916635,0.47910891182323884,0.4731880839054401,0.46768356762694185,0.4707143923940038,0.4475783104374564,0.43997300235477427,0.0,158.97041420118344,140.1301775147929,30.402366863905325,8.707692307692307,2454.8762120354104,11.922798431593565,0.2738672576135475,-0.9617675005983696,1.0577109842609953e-06,249.13968982884364,0.7608187483759568,0.3805917159763314,1.1020414201183433,0.7214497041420118,193
37.34375_-118.90625,61.10713263517301,61.54935091910278,63.51041863796979,65.0426108681944,70.62060405798918,74.77373416607196,10.253809556453186,8.571829951726473,10.015478136976794,11.106947255557811,9.230653315606203,7.609528039686778,1.1075042553201935,1.0384600555755683,0.9105450073642843,0.7929278936391398,0.7044430825440489,0.6371222872551553,0.4727302407019237,0.4550698815718205,0.4382612103893912,0.4403869539675628,0.4257803167817155,0.42016183307184973,0.0650887573964497,146.63313609467457,130.06508875739644,25.532544378698226,7.196449704142012,3026.2642251641087,13.27065340379145,-0.5978478981984484,-0.8016095624552502,-1.5377708693660785e-06,249.2591636654472,0.4599803099851508,0.20479289940828407,0.7890828402366863,0.5842899408284022,217
37.28125_-119.21875,60.6956068637103,61.960891227045,64.15425290440666,65.3513526013617,67.09979153243748,70.77154125687639,9.724556898929663,8.975473787304917,10.299377756711294,10.673535978653021,9.755751401009645,8.581877122616627,1.1908368288412603,1.114942960661544,1.0382496002157764,1.0492478512095276,0.7083611340873693,0.5899138104765725,0.4974058453853314,0.47444060920963627,0.438060386999119,0.43540909798187616,0.43056016331593666,0.43138199956459405,0.011834319526627219,170.44970414201183,150.0059171597633,31.899408284023668,9.346745562130177,2561.528058836446,10.629155178453459,0.5433312452425535,-0.8395184083408631,-3.4381681268029486e-05,201.75186701287947,0.9030111682602439,0.41831360946745566,1.398491124260355,0.9801775147928994,241
37.28125_-119.15625,61.03374873956985,61.954979394314556,63.369188658584505,64.93352470172228,66.83312548123874,70.4703685376771,9.63756028293858,9.444241995642171,10.787595576083167,11.141573295085388,10.243073318836958,9.20868581498163,1.1803008709433516,1.1085623425139477,1.0200011188814626,1.0034221625010642,0.5956513466280416,0.5072217614075841,0.49842109465034756,0.4782883868767665,0.4446007464764386,0.4407219179635923,0.43454775496347414,0.4329700415303721,0.01775147928994083,149.10059171597632,129.44970414201183,33.05917159763314,11.693491124260355,2580.0091415495563,10.169563699168933,0.9834762300433946,0.18103730261918943,-1.000632226262113e-05,231.2300330553948,0.8703994840458493,0.40665680473372784,1.3336390532544378,0.92698224852071,201
37.28125_-119.09375,66.38952431311974,67.58101538934652,69.95920296392497,72.10937389396352,75.83196662586822,79.92782310621273,7.892357491882595,6.336000786730524,7.051926354332083,7.311487357291949,6.240038221404397,5.143373823730198,1.316610860754047,1.1934337025210702,1.0204328481085907,1.0235948518756226,0.6574679400837986,0.5189019944408589,0.49136276887013364,0.4663241641408593,0.4419457834853223,0.4373677868462173,0.42665647402317564,0.4241972611500667,0.01775147928994083,166.52662721893492,144.71597633136093,37.21301775147929,12.931360946745563,2709.589774408284,9.02366165610537,-0.62801740183903,-0.7781992951598931,-2.979944865995646e-05,159.7244102454218,0.7924443634169035,0.3520414201183432,1.2990828402366865,0.9470414201183432,209
37.28125_-119.03125,65.82651431743915,66.40356704892491,67.2085374008269,69.34991698857596,74.67424004458817,79.14646582067365,8.1088446555053,7.586636296390782,8.860136635910125,9.504255782217669,7.0716760930930365,5.664693140419277,1.2415060182294901,1.1263099413298996,0.9394499845251706,0.8531950183829965,0.4805793239454017,0.5683851469495504,0.49003393639474224,0.46919676132456084,0.44950796848923497,0.4463824167759461,0.4330980668406515,0.4310980708994104,0.011834319526627219,153.52662721893492,133.53254437869822,31.91715976331361,10.325443786982248,2765.781928970969,11.154562545730272,-0.9632083419674003,0.26875581847545466,-4.975348764376036e-05,265.4894671294887,0.7274327960369149,0.3429289940828403,1.1683431952662724,0.8254142011834321,209
37.28125_-118.96875,67.62433373716456,65.64552811616977,61.918085109552685,61.679298073582395,70.32699975459533,76.24514154287485,8.106193382359116,9.975082609075061,12.638386916832106,14.628219493042083,9.45507378832123,7.4463912777646755,1.0471999583512368,0.9649224344795272,0.7258517961375989,0.42465957008390387,0.4635811493506093,0.3671627206474366,0.46754252998786566,0.46634108815672837,0.4665695894399338,0.46927170816963243,0.4473534020093771,0.4442287267312496,0.0,156.63313609467457,138.36686390532543,27.29585798816568,6.9100591715976325,2425.6739971454326,12.511624220225654,-0.7703430582700199,-0.63762965158091,9.005414324016909e-05,225.86617340254244,0.5867749996292507,0.27831360946745565,0.9131065088757396,0.634792899408284,193
37.28125_-118.90625,64.35183481069711,64.66946047720825,65.69684749806422,67.16113771066158,72.22045187414045,77.04227357221073,9.065451788479054,8.040536970781856,9.35703919484065,10.138955552902447,7.989903558993481,6.394850014934878,1.148628261844082,1.079944893100558,0.9487184484946657,0.8030048115013619,0.7474342017440048,0.6563490041856759,0.47535262252452104,0.4586571019429427,0.44294152474967685,0.443171460071259,0.4298514751992987,0.4269930877276426,0.05917159763313609,150.57988165680473,134.95857988165682,23.46153846153846,5.8698224852071,3046.976722852718,14.804715073341038,0.8398801426230904,-0.5427719097626711,-5.7305542589808805e-05,308.4254236473115,0.4791930559612305,0.24414201183431955,0.7479881656804734,0.5038461538461538,217
37.28125_-118.84375,63.378046498496154,64.27530448958719,68.09964124690852,69.91370976464988,74.3690657531016,78.75245980257114,9.523365247884445,6.712510764246156,7.56182527048348,8.120251937025397,6.964158816450446,5.7413493878037265,1.1836399577073091,1.1330565425771228,1.0457885112370966,0.9516731242720897,0.9731063186769655,0.9005711501100536,0.46614460603019897,0.4452988198522985,0.42548736206878573,0.4275138265282445,0.4182437746482488,0.4155942258044813,0.15976331360946747,120.74556213017752,112.18934911242603,12.011834319526628,2.0337278106508876,3351.252688436113,13.8281804513715,0.5263295134201109,-0.8502806850111022,-6.189668775232635e-05,202.27172729041493,0.17664110591632157,0.04828402366863906,0.3833727810650888,0.3350887573964498,217
