set,basin,period,forcing,n_months,kge,nse,pbias
9unimp,ChowchillaRiver,post1950,unsplit,831,0.9322129592671451,0.9064168123459377,-2.176683380419746
9unimp,ChowchillaRiver,post1950,lto,831,0.9599173133130363,0.9585728390094409,2.9159789543306065
9unimp,CosumnesRiver,full,unsplit,1167,0.9669149144807723,0.9589922691631072,1.5180005457924464
9unimp,CosumnesRiver,full,lto,1167,0.872429084884727,0.9474055085808989,8.162422179521847
9unimp,CosumnesRiver,pre1950,unsplit,336,0.9647949523309253,0.9415589830910243,0.41867267318614204
9unimp,CosumnesRiver,pre1950,lto,336,0.8095333213042671,0.9186052997674392,12.899927514261297
9unimp,CosumnesRiver,post1950,unsplit,831,0.9660886387071983,0.9627093924231979,1.8764416591007151
9unimp,CosumnesRiver,post1950,lto,831,0.8887747297945628,0.9536066678617852,6.617735895472779
9unimp,FresnoRiver,full,unsplit,1167,0.8699485646502791,0.8862563705885754,11.29171272681805
9unimp,FresnoRiver,full,lto,1167,0.8366365814934259,0.9243763632234957,-5.518426220976076
9unimp,FresnoRiver,pre1950,unsplit,336,0.7692275283569827,0.8148673436963678,17.42677411438176
9unimp,FresnoRiver,pre1950,lto,336,0.7099752533932266,0.884513939257144,-19.656531770390178
9unimp,FresnoRiver,post1950,unsplit,831,0.869078414380473,0.9078097607330244,8.67820943049892
9unimp,FresnoRiver,post1950,lto,831,0.8630555660351581,0.936409526955262,0.5043310299949842
9unimp,MokelumneRiver,full,unsplit,1167,0.9374370282616764,0.8762137998646882,0.8518115016736109
9unimp,MokelumneRiver,full,lto,1167,0.9198754208733787,0.8917924288232194,-3.6547919279498986
9unimp,MokelumneRiver,pre1950,unsplit,336,0.8514259076993269,0.789115453924298,10.556589124582208
9unimp,MokelumneRiver,pre1950,lto,336,0.893226695549795,0.8339100016046013,-0.13717291975709045
9unimp,MokelumneRiver,post1950,unsplit,831,0.9456513272446468,0.9028283605998657,-2.4859089656486497
9unimp,MokelumneRiver,post1950,lto,831,0.9228335857624848,0.9093726020505881,-4.864590793631473
9unimp,PutahCreek,full,unsplit,1167,0.9731898869678479,0.9499677746316824,-0.9484027823179572
9unimp,PutahCreek,full,lto,1167,0.9803299791155496,0.9744698586783386,-1.1315843525320772
9unimp,PutahCreek,pre1950,unsplit,336,0.818688775874532,0.8613056757281246,-11.744753826061864
9unimp,PutahCreek,pre1950,lto,336,0.9192613467799104,0.9544088590648807,-1.885964577980206
9unimp,PutahCreek,post1950,unsplit,831,0.9610424319245094,0.9712794168857657,2.363959691750032
9unimp,PutahCreek,post1950,lto,831,0.985265007290285,0.9792324623799977,-0.9001375664995732
9unimp,StonyCreek,full,unsplit,1167,0.9324594347998265,0.8972759607734815,3.8276273773867957
9unimp,StonyCreek,full,lto,1167,0.9445114924428382,0.9331614253288549,3.0389656936606357
9unimp,StonyCreek,pre1950,unsplit,336,0.7331188924724578,0.8205444502306984,21.258033723428404
9unimp,StonyCreek,pre1950,lto,336,0.8704408705260593,0.8825599076318942,11.619122012069994
9unimp,StonyCreek,post1950,unsplit,831,0.9544734395707524,0.9140501147296588,-1.4741834555431417
9unimp,StonyCreek,post1950,lto,831,0.9501554936172828,0.944228463115604,0.4291375109971979
