center,start,end,source,metric,value,n_basins
1937-12-31,1922-12-31,1952-11-30,vic_9unimp,nse,0.7887264425996338,9
1937-12-31,1922-12-31,1952-11-30,vic_9unimp,pbias,22.409231005317594,9
1937-12-31,1922-12-31,1952-11-30,vic_9unimp,seas_mismatch,0.08269626423852969,9
1938-01-31,1923-01-31,1952-12-31,11obs,kge,0.8930862754688538,11
1938-01-31,1923-01-31,1952-12-31,11obs,nse,0.8919245182651309,11
1938-01-31,1923-01-31,1952-12-31,11obs,pbias,-0.20563111029493686,11
1938-01-31,1923-01-31,1952-12-31,11obs,seas_mismatch,0.04337872156778316,11
1938-01-31,1923-01-31,1952-12-31,9unimp,kge,0.8665084362129212,9
1938-01-31,1923-01-31,1952-12-31,9unimp,nse,0.8785300665005381,9
1938-01-31,1923-01-31,1952-12-31,9unimp,pbias,-0.4751365080262994,9
1938-01-31,1923-01-31,1952-12-31,9unimp,seas_mismatch,0.059942862862408436,9
1938-01-31,1923-01-31,1952-12-31,vic_11obs,kge,0.6883763136472343,11
1938-01-31,1923-01-31,1952-12-31,vic_11obs,nse,0.7928181940611995,11
1938-01-31,1923-01-31,1952-12-31,vic_11obs,pbias,14.876228773801119,11
1938-01-31,1923-01-31,1952-12-31,vic_11obs,seas_mismatch,0.07210417419641814,11
1938-01-31,1923-01-31,1952-12-31,vic_9unimp,kge,0.6883763136472343,9
1938-01-31,1923-01-31,1952-12-31,vic_9unimp,nse,0.7928181940611995,9
1938-01-31,1923-01-31,1952-12-31,vic_9unimp,pbias,22.319635163108778,9
1938-01-31,1923-01-31,1952-12-31,vic_9unimp,seas_mismatch,0.07900706118035968,9
1938-02-28,1923-02-28,1953-01-31,11obs,kge,0.8764320733299409,11
1938-02-28,1923-02-28,1953-01-31,11obs,nse,0.8917997773994255,11
1938-02-28,1923-02-28,1953-01-31,11obs,pbias,-0.2949117063087784,11
1938-02-28,1923-02-28,1953-01-31,11obs,seas_mismatch,0.042717666824753565,11
1938-02-28,1923-02-28,1953-01-31,9unimp,kge,0.8711684192894782,9
1938-02-28,1923-02-28,1953-01-31,9unimp,nse,0.8818948043608117,9
1938-02-28,1923-02-28,1953-01-31,9unimp,pbias,-0.7654002889728009,9
1938-02-28,1923-02-28,1953-01-31,9unimp,seas_mismatch,0.05821955456671233,9
1938-02-28,1923-02-28,1953-01-31,vic_11obs,kge,0.7052444774566187,11
1938-02-28,1923-02-28,1953-01-31,vic_11obs,nse,0.8057556939225882,11
1938-02-28,1923-02-28,1953-01-31,vic_11obs,pbias,14.791289914652955,11
1938-02-28,1923-02-28,1953-01-31,vic_11obs,seas_mismatch,0.0727148754568473,11
1938-02-28,1923-02-28,1953-01-31,vic_9unimp,kge,0.7052444774566187,9
1938-02-28,1923-02-28,1953-01-31,vic_9unimp,nse,0.8057556939225882,9
1938-02-28,1923-02-28,1953-01-31,vic_9unimp,pbias,22.120662778047194,9
1938-02-28,1923-02-28,1953-01-31,vic_9unimp,seas_mismatch,0.08128858640795539,9
1938-03-31,1923-03-31,1953-02-28,11obs,kge,0.8753960764692776,11
1938-03-31,1923-03-31,1953-02-28,11obs,nse,0.8917437864269188,11
1938-03-31,1923-03-31,1953-02-28,11obs,pbias,-0.40160574187454534,11
