set,basin,source,ref_kind,n_months,kge,nse,pbias,r,mean_sim_taf,mean_calsim3_taf,seas_mismatch,ct_sim_mo,ct_ref_mo,dct_mo
11obs,SHA,11obs,unimp,1167,0.9392183265361624,0.8891187812860342,0.05219509048436348,0.9465212443411465,466.9761942726359,466.7325827787345,0.02243056954721294,5.817521697515587,5.964975490259008,-0.14745379274342163
11obs,SHA,vic,unimp,1167,0.7810579348485305,0.8697082357942654,2.3965286998240165,0.9657452018350245,477.9179630764568,466.7325827787345,0.039572916873510305,5.888488712150724,5.964975490259008,-0.07648677810828453
11obs,SJF,11obs,unimp,1167,0.943920450495602,0.9186194477855221,3.824960659042473,0.9602322931194894,148.7828043884902,143.30157550175986,0.032303552545627154,7.249224920923182,7.417924555781943,-0.16869963485876127
11obs,SJF,vic,unimp,1167,0.7815213620272526,0.8096077998082977,-1.1232196266872083,0.9395007813916023,141.6919840803721,143.30157550175986,0.07066164596387597,7.244072577961879,7.417924555781943,-0.173851977820064
11obs,SNS,11obs,unimp,1167,0.9580968868299361,0.921250490687421,-0.8387438610256704,0.9602887653025572,92.52878118190505,93.31142503098802,0.036260730236744254,6.780588348461335,6.887579519809489,-0.10699117134815417
11obs,SNS,vic,unimp,1167,0.7172544477523854,0.8101092278131526,18.163524790923514,0.9487770521572283,110.26006884925555,93.31142503098802,0.05285874437101365,6.970921404861677,6.887579519809489,0.08334188505218787
11obs,TLG,11obs,unimp,1167,0.9420707256798408,0.9279850598120333,4.274275025978511,0.96545533975389,160.7367495879284,154.14803847630014,0.03132620533267956,6.9565479757920405,7.037868250082202,-0.08132027429016109
11obs,TLG,vic,unimp,1167,0.8109424875586945,0.8476930993441585,2.882877070727435,0.9494220817263265,158.5919369325095,154.14803847630014,0.04995312691833788,6.971535143471225,7.037868250082202,-0.06633310661097624
11obs,TNL,11obs,unimp,1167,0.773528411413201,0.673537215486407,9.893100295968349,0.8739455500949955,113.3566821551852,103.1517737236356,0.07417957495224285,6.089029261260208,6.276272795116332,-0.18724353385612424
11obs,TNL,vic,unimp,1167,0.5737809098699336,0.3736502196390151,15.001999513007943,0.8236156124177646,118.62660231531446,103.1517737236356,0.15779094615064432,5.655422569509128,6.276272795116332,-0.6208502256072048
11obs,YRS,11obs,unimp,1167,0.8978162804593032,0.9327991075742763,6.315597359754568,0.9728165670940035,201.37305713076083,189.4106435289522,0.02789705113150939,6.0195887966256265,6.179211035749414,-0.15962223912378715
11obs,YRS,vic,unimp,1167,0.8018958634246693,0.8539765092452168,6.353716529566014,0.9534891291722004,201.4452588956086,189.4106435289522,0.09391181926938043,5.827690988092485,6.179211035749414,-0.3515200476569289
9unimp,BearRiver,9unimp,inflow_sum,1167,0.879614211594784,0.9599372037918169,-11.924965367159377,0.9835656539699058,25.30704426749686,28.73350475874874,0.07400269543306501,5.138980781851986,5.403248347811726,-0.26426756595973977
9unimp,BearRiver,vic,inflow_sum,1167,0.7660680108256721,0.8896064618192155,4.765642916740081,0.9766479019824564,30.10284099301522,28.73350475874874,0.09694313871752687,5.125911893467149,5.403248347811726,-0.2773364543445771
9unimp,CacheCreek,9unimp,inflow_sum,1167,0.8936961140683716,0.822141127214837,-3.802176754179755,0.9085233996505422,50.036683809229054,52.01436178172891,0.106225412368815,5.267746935837225,5.170471591016186,0.09727534482103906
9unimp,CacheCreek,vic,inflow_sum,1167,0.772715230836694,0.7996774693964385,8.273963902198513,0.9344158612792847,56.31801129950809,52.01436178172891,0.05813014757960881,4.980978958024148,5.170471591016186,-0.1894926329920379
9unimp,CalaverasRiver,9unimp,inflow_sum,1167,0.9145661518156177,0.9341059315989573,5.262904836730186,0.9709859834880972,13.58212579491628,12.903050524762799,0.05480018412218653,5.04760019555104,5.367300114012294,-0.3196999184612537
9unimp,CalaverasRiver,vic,inflow_sum,1167,0.6305742727417349,0.810531503980129,30.505851030011907,0.9472230810975012,16.83923589617411,12.903050524762799,0.0655706192823459,5.302453112507137,5.367300114012294,-0.06484700150515721
9unimp,ChowchillaRiver,9unimp,inflow_sum,1167,0.9207606923059857,0.9057817195214545,-4.258125776009502,0.9519041773118779,5.628547451841414,5.878877447785581,0.03923906521892745,5.237079782246888,5.450722801571468,-0.21364301932457952
9unimp,ChowchillaRiver,vic,inflow_sum,1167,0.547347872126182,0.8013180933348149,41.06266733835847,0.9431815994190493,8.292901337399554,5.878877447785581,0.06238021726370085,5.318204975744032,5.450722801571468,-0.13251782582743576
9unimp,CosumnesRiver,9unimp,inflow_sum,1167,0.9669149144807723,0.9589922691631072,1.5180005457924464,0.9802059782096727,31.148166960145076,30.68240784164662,0.04059451900628275,5.625885510992121,5.867824397937727,-0.24193888694560606
9unimp,CosumnesRiver,vic,inflow_sum,1167,0.525372702344292,0.7295291267494632,34.871516433511935,0.9533066538704609,41.38182873434357,30.68240784164662,0.10670590943504618,5.314228525774756,5.867824397937727,-0.5535958721629708
9unimp,FresnoRiver,9unimp,inflow_sum,1167,0.8699485646502791,0.8862563705885754,11.29171272681805,0.9431927118329038,6.219204062273195,5.588200513670905,0.04019431048301169,5.5648900946093,5.529854708700328,0.03503538590897204
9unimp,FresnoRiver,vic,inflow_sum,1167,-0.18061054991286785,0.07291220122623676,94.99529901105781,0.9256718156701642,10.89672830097005,5.588200513670905,0.06427070090379565,5.368852357999695,5.529854708700328,-0.16100235070063285
9unimp,MokelumneRiver,9unimp,inflow_sum,1167,0.9374370282616764,0.8762137998646882,0.8518115016736109,0.9387603348924389,61.56260742623631,61.04263920456669,0.045536521452489195,6.804714299267658,6.880094843640225,-0.07538054437256658
9unimp,MokelumneRiver,vic,inflow_sum,1167,0.8275905159097372,0.7824766164093262,11.432478106965265,0.9077310321724459,68.02132556754258,61.04263920456669,0.10543268944712156,6.573862622205177,6.880094843640225,-0.3062322214350477
9unimp,PutahCreek,9unimp,inflow_sum,1167,0.9731898869678479,0.9499677746316824,-0.9484027823179572,0.9750646426736291,30.27759485015769,30.567497850254483,0.04535772036587245,4.584719996380671,4.931885681209067,-0.34716568482839616
9unimp,PutahCreek,vic,inflow_sum,1167,0.8778072085734799,0.9061319590514023,9.22816264009374,0.959289999345917,33.38831626688312,30.567497850254483,0.05987166929817901,4.97100156762161,4.931885681209067,0.039115886412543155
9unimp,StonyCreek,9unimp,inflow_sum,1167,0.9324594347998265,0.8972759607734815,3.8276273773867957,0.950443773524915,37.367287293186145,35.989734367487415,0.05420252935847507,4.938427009805558,5.248036863173935,-0.3096098533683769
9unimp,StonyCreek,vic,inflow_sum,1167,0.817677589838824,0.8437739888114777,10.932308599338667,0.9405690129205406,39.924243192623386,35.989734367487415,0.06928632017680539,5.1220353186202034,5.248036863173935,-0.12600154455373147
