arc,node,source,n_months,kge,nse,pbias,r
I_BTVLY,BTVLY,vic,1167,0.15804148854745625,-0.060093711897109214,35.65759338413574,0.9005431282259976
I_BUCKS,BUCKS,vic,1167,0.7211281592180123,0.4467591863154229,-8.979245249705327,0.7573538462535592
I_BUR005,BUR005,vic,1167,0.39360429205815806,0.5008571260341403,-22.63425745557884,0.7632832905738103
I_BVC007,BVC007,vic,1167,0.5805728421309357,0.5913812941492822,14.824320084210582,0.9095378742938848
I_CAP000,CAP000,vic,1167,-0.28601840631220643,0.3262219629688077,122.96456613225247,0.683507890359403
I_CAPLS,CAPLS,vic,1167,0.6649899420721942,0.5805737822067076,-1.2076923734772567,0.8770861477641839
I_CCH053,CCH053,vic,1167,-1.3070157615871185,-2.36842851371664,172.20144188913324,0.9198093153688582
I_CFS001,CFS001,vic,1167,0.11204763749722668,-0.09648326351509517,33.447924231878666,0.8994526494350459
I_CHC000,CHC000,vic,1167,-0.031630952972041104,0.5548130633729457,98.1762103907946,0.7991531184821459
I_CHW031,CHW031,vic,1167,0.1795959985282387,0.39910608160583705,-48.4912186664455,0.7750745604806192
I_CLR011,CLR011,vic,1167,0.6353394733268652,0.7444448814214186,-34.06489398314759,0.8965003626599822
I_CLRLK,CLRLK,vic,1167,0.8455502231774152,0.8139602395636963,-12.568219539795026,0.9109037135233208
I_CLV026,CLV026,vic,1167,0.48247054312790016,0.5389795086196443,-22.319147143143542,0.7561809310051251
I_CMBIE,CMBIE,vic,1167,0.6219100200848371,0.714412451891733,18.01422310056312,0.9376548142549364
I_CMCHE,CMCHE,vic,1167,0.5759471939125269,0.6207158033428721,-24.412365911168095,0.8013243318905877
I_CMP001,CMP001,vic,1167,0.21145229869828752,-0.21345422784105939,35.26729351199327,0.7909846358086444
I_CMP014,CMP014,vic,1167,0.718374786967733,0.44669988162614116,3.3950520737748766,0.7746337454928383
I_CMPFW,CMPFW,vic,1167,0.6280303869266481,0.6173626140885822,-28.108196683091276,0.8076199887472135
I_COL003,COL003,vic,1167,0.7413973250901953,0.8118732099532664,-18.058423348509663,0.9123624808454215
I_COT033,COT033,vic,1167,0.21014737327880106,0.4507799693718769,-44.4708391115782,0.8510831101698179
I_COW014,COW014,vic,1167,0.8449662162560345,0.7944734911013255,-11.975271773510155,0.902226291008358
I_CSM035,CSM035,vic,1167,0.500596068133367,0.7385365522186188,39.306353418953236,0.9557920989300179
I_CWD018,CWD018,vic,1167,0.8077319142368244,0.8515012355008064,11.734588335408036,0.9460223006936546
I_CYN009,CYN009,vic,1167,0.4703208769005123,0.23498500477696727,17.954082515651542,0.8191801522590725
I_DAVIS,DAVIS,vic,1167,0.8004525329186504,0.7526528978381681,3.048423586570595,0.8678903702125541
I_DBC024,DBC024,vic,1167,0.07322465647227516,0.30859707846117335,-54.07726594236306,0.7966909490169917
I_DCC010,DCC010,vic,1167,0.7006739506232351,0.5772158644729112,-16.20105969406244,0.7761744501610923
I_DCM027,DCM027,vic,1167,0.46462188290247763,0.40016382453319477,-9.67166035289813,0.6337716476089377
