period,window,set,basin,source,ref_kind,n_months,kge,nse,pbias,r,mean_sim_taf,mean_calsim3_taf,seas_mismatch,ct_sim_mo,ct_ref_mo,dct_mo
pre1950,WY1922–1949,9unimp,CosumnesRiver,9unimp,inflow_sum,336,0.9647949523309253,0.9415589830910243,0.41867267318614204,0.9715682171521465,26.31265096534505,26.20294638924367,0.04717610910146475,5.728653388426117,5.985348480111776,-0.2566950916856596
pre1950,WY1922–1949,9unimp,CosumnesRiver,vic,inflow_sum,336,0.4908115199922468,0.6555952125625173,36.60308953492935,0.9390600084806979,35.79403431688807,26.20294638924367,0.12569366145286895,5.422916621432078,5.985348480111776,-0.5624318586796981
pre1950,WY1922–1949,9unimp,FresnoRiver,9unimp,inflow_sum,336,0.7692275283569827,0.8148673436963678,17.42677411438176,0.9300597299909629,6.808586116811891,5.798154780424999,0.05016891352469864,5.713857292268747,5.687255994954744,0.02660129731400307
pre1950,WY1922–1949,9unimp,FresnoRiver,vic,inflow_sum,336,-0.4426750330468985,-0.6775079203445518,106.73335945984864,0.8908791315680001,11.98672016425441,5.798154780424999,0.12772561842838484,5.447096093495921,5.687255994954744,-0.2401599014588225
pre1950,WY1922–1949,9unimp,MokelumneRiver,9unimp,inflow_sum,336,0.8514259076993269,0.789115453924298,10.556589124582208,0.9022151938853802,59.98445156156789,54.2567856303649,0.08654821788514325,7.082142841747385,7.052422504591509,0.029720337155875853
pre1950,WY1922–1949,9unimp,MokelumneRiver,vic,inflow_sum,336,0.7167991223595547,0.6763896513964672,23.266811186023467,0.8719217826224535,66.88060949858742,54.2567856303649,0.11979026434006776,6.921989496083712,7.052422504591509,-0.13043300850779715
pre1950,WY1922–1949,9unimp,PutahCreek,9unimp,inflow_sum,336,0.818688775874532,0.8613056757281246,-11.744753826061864,0.9312438702345038,21.997961643740414,24.92538698536477,0.0785768087354186,4.6106438863853345,4.998513449733112,-0.38786956334777756
pre1950,WY1922–1949,9unimp,PutahCreek,vic,inflow_sum,336,0.8817086552698564,0.8325732015191725,-4.129887089510988,0.9128680326366604,23.89599664624554,24.92538698536477,0.0864405848997609,5.090028562379628,4.998513449733112,0.09151511264651635
pre1950,WY1922–1949,9unimp,StonyCreek,9unimp,inflow_sum,336,0.7331188924724578,0.8205444502306984,21.258033723428404,0.9379349685047433,35.35111962214773,29.15363092789249,0.05886139475674208,5.015428370310772,5.39661938262713,-0.381191012316358
pre1950,WY1922–1949,9unimp,StonyCreek,vic,inflow_sum,336,0.6186193643252946,0.7661036544191594,27.330863498279566,0.9436090554127543,37.121570001587,29.15363092789249,0.05909477509752085,5.193702014076854,5.39661938262713,-0.20291736855027587
post1950,WY1950–2019,11obs,AMF,11obs,unimp,831,0.9746293127806454,0.9538059618446448,-0.4412153779883908,0.976738721922552,226.2191121189344,227.22164897633678,0.024792743799666384,6.109263093899376,6.201910371205079,-0.09264727730570321
post1950,WY1950–2019,11obs,AMF,vic,unimp,831,0.8159886070658893,0.8483210089478527,7.552837072880942,0.947095532535792,244.38332991783295,227.22164897633678,0.10603395652641248,5.800735197974137,6.201910371205079,-0.4011751732309419
post1950,WY1950–2019,11obs,BLB,11obs,inflow_sum,831,0.790052888374756,0.8873628862447127,-14.108155964010686,0.9504239206739016,33.28634540756165,38.75379063187236,0.053790391510910376,4.984005045082397,5.187742507453797,-0.2037374623714001
post1950,WY1950–2019,11obs,BLB,vic,inflow_sum,831,0.8659562239096513,0.8604574755808454,5.944356265838095,0.9424259090648813,41.05745401354785,38.75379063187236,0.07411656282547605,5.0929531813334465,5.187742507453797,-0.09478932612035074
post1950,WY1950–2019,11obs,BND,11obs,unimp,831,0.8449392692762118,0.9179758725912338,9.650504354320988,0.9745833526026388,786.8479054794284,717.5962482916032,0.02045221558046209,5.751003935589184,5.810995608067088,-0.0599916724779046
post1950,WY1950–2019,11obs,BND,vic,unimp,831,0.7842485160229737,0.8952838851306204,1.9213105799136247,0.9758216746264039,731.3835009310931,717.5962482916032,0.06289931423763062,5.6831244081020165,5.810995608067088,-0.1278711999650719
post1950,WY1950–2019,11obs,FTO,11obs,unimp,831,0.9695612153991934,0.9391205506106978,-0.0031834708863257588,0.9695612488158513,378.60839401334295,378.62044728505197,0.01576165888591094,5.98524792959759,6.11279501436434,-0.12754708476674992
post1950,WY1950–2019,11obs,FTO,vic,unimp,831,0.7194751118209803,0.8166008043455348,12.649650452831125,0.9564921172424422,426.5146104095568,378.62044728505197,0.08672449103480184,5.745597944508982,6.11279501436434,-0.36719706985535794
post1950,WY1950–2019,11obs,MRC,11obs,unimp,831,0.9657125475963363,0.934192848444402,0.820952601017277,0.9673501154325,82.24524429398086,81.57554771323497,0.03104806064942626,6.779922204823476,6.996913130067283,-0.21699092524380692
post1950,WY1950–2019,11obs,MRC,vic,unimp,831,0.7728720001149384,0.839661723647962,13.261379159789493,0.949810043885294,92.39359039716204,81.57554771323497,0.06522110297881548,6.713535175140081,6.996913130067283,-0.28337795492720197
post1950,WY1950–2019,11obs,SHA,11obs,unimp,831,0.9262595431367276,0.9053477932702004,5.079601304666628,0.9564308462687575,516.605871227056,491.63288099011214,0.017921558885363783,5.815676043692179,5.913674879147998,-0.09799883545581967
post1950,WY1950–2019,11obs,SHA,vic,unimp,831,0.7503827161303915,0.8680164850181131,6.125377850025195,0.9723541825086432,521.7472525857212,491.63288099011214,0.04701322658152182,5.80487847006036,5.913674879147998,-0.10879640908763832
post1950,WY1950–2019,11obs,SJF,11obs,unimp,831,0.9578553638393915,0.91880349620017,-0.4106768943325031,0.9590735440319776,147.2871664240652,147.8945351077331,0.02898855431510306,7.212891182742377,7.382047544686591,-0.16915636194421424
post1950,WY1950–2019,11obs,SJF,vic,unimp,831,0.8151665855527049,0.8373901588720185,-6.842838023877332,0.9425942504715897,137.77435162414454,147.8945351077331,0.06704361343609239,7.197207600537582,7.382047544686591,-0.18483994414900895
post1950,WY1950–2019,11obs,SNS,11obs,unimp,831,0.9611973465399396,0.9392219372468202,-2.2355392411238313,0.9695451596144307,94.78400123477059,96.9513875482252,0.02792516273546021,6.6802624852591075,6.806326142034866,-0.12606365677575848
post1950,WY1950–2019,11obs,SNS,vic,unimp,831,0.7343173130873811,0.8489942550789963,15.851906016716823,0.9626475442931453,112.32003038427275,96.9513875482252,0.04050355733895308,6.851031413789123,6.806326142034866,0.04470527175425687
post1950,WY1950–2019,11obs,TLG,11obs,unimp,831,0.9712259573917604,0.9427988186947809,0.184308488503497,0.9713480022609968,159.88000392176093,159.5858736102448,0.029097974927664676,6.8500073851229955,6.990200099503723,-0.14019271438072778
post1950,WY1950–2019,11obs,TLG,vic,unimp,831,0.8468350261409214,0.8695795014960619,-2.144406451034804,0.9521948365568527,156.16370384160646,159.5858736102448,0.06616667794108658,6.853273964295942,6.990200099503723,-0.13692613520778085
post1950,WY1950–2019,11obs,TNL,11obs,unimp,831,0.8624326075781563,0.7658167552341575,1.7476938644827036,0.8961537117157714,112.15561358271489,110.22914556873835,0.08036008580197807,5.971683369587108,6.228682852583446,-0.25699948299633757
post1950,WY1950–2019,11obs,TNL,vic,unimp,831,0.7011933697329437,0.5575747711988857,6.376025616195261,0.8495216331238183,117.25738412671427,110.22914556873835,0.16299975078094409,5.599181807265361,6.228682852583446,-0.6295010453180847
