arc,node,set,n_months,kge,nse,pbias,r,mean_set_taf,mean_calsim3_taf,cov_frac,n_hru
I_BOWMN,BOWMN,vic,1167,0.7445954174965548,0.7741617125598337,-23.84466978979156,0.90852868895923,4.958984516789693,6.5116709534337405,,
I_BRC003,BRC003,9unimp,1167,0.6918536961024393,0.6145055096375945,-9.963149777076696,0.7853732870911888,2.446641467579081,2.717377897517974,1.0,16.0
I_BRC003,BRC003,vic,1167,0.5391094088899466,0.6305892243920579,35.407865452952926,0.8949484860269858,3.6795434073194198,2.717377897517974,,
I_BRR023,BRR023,9unimp,1167,0.8064926104677033,0.875255893063722,-16.353337445266355,0.9419104205354706,6.301725964997885,7.533744649853056,1.0,20.0
I_BRR023,BRR023,vic,1167,0.7560698385495844,0.7760457319753812,8.785465697054233,0.9284274704120257,8.195619201769555,7.533744649853056,,
I_BSH003,BSH003,15cdec,1167,0.7192202511669117,0.41726496494194143,-0.8232962705597737,0.7463175410419796,0.9351504840065762,0.9429134553188223,1.001,5.0
I_BSH003,BSH003,11obs,1167,0.6977305988366183,0.5287713755421797,-19.523404775155594,0.7705189411664711,0.7588246447575228,0.9429134553188223,1.001,3.0
I_BSH003,BSH003,vic,1167,0.6093766351076011,0.19976859081800258,-11.502882338447362,0.689873916907757,0.8344512300001098,0.9429134553188223,,
I_BTL006,BTL006,15cdec,1167,0.1344419184073944,-0.015010664353003467,13.349420272199943,0.9340054405434209,32.89175804265288,29.018020527732606,0.936,84.0
I_BTL006,BTL006,11obs,1167,-0.018242932949595447,-0.6091519714892919,46.25420441548643,0.9292529800712045,42.44007505995786,29.018020527732606,1.0,40.0
I_BTL006,BTL006,vic,1167,-0.4231247967604521,-1.5027227363810138,22.30309747051772,0.9140105658501815,35.48993793004765,29.018020527732606,,
I_BTVLY,BTVLY,15cdec,1167,0.3038624165099597,0.09146641379584486,31.01815207361503,0.8653524016126208,7.457784493497494,5.692176523224962,0.967,30.0
I_BTVLY,BTVLY,11obs,1167,0.3633126447890864,0.2531887037504936,26.518259731594895,0.8892985172498362,7.201642678034625,5.692176523224962,1.0,14.0
I_BTVLY,BTVLY,vic,1167,0.15804148854745625,-0.060093711897109214,35.65759338413574,0.9005431282259976,7.721869682583754,5.692176523224962,,
I_BUCKS,BUCKS,15cdec,1167,0.5525634246907625,0.008582055391513688,-6.411470641226047,0.6068598327746648,6.843230145117224,7.312039404832969,0.978,13.0
I_BUCKS,BUCKS,11obs,1167,0.7588718502122462,0.5878327890052402,-8.651832976857522,0.7849223423749159,6.679413968324814,7.312039404832969,1.001,7.0
I_BUCKS,BUCKS,vic,1167,0.7211281592180123,0.4467591863154229,-8.979245249705327,0.7573538462535592,6.655473453917923,7.312039404832969,,
I_BVC007,BVC007,15cdec,1167,0.6762451628926957,0.6827371377776437,20.248767240834326,0.9031776769109672,3.7955230274931244,3.1563924642083423,0.986,15.0
I_BVC007,BVC007,11obs,1167,0.8598459736896007,0.767090633148418,-3.2079444102460246,0.8970742725785559,3.055137148587344,3.1563924642083423,0.998,10.0
I_BVC007,BVC007,vic,1167,0.5805728421309357,0.5913812941492822,14.824320084210582,0.9095378742938848,3.624306186216489,3.1563924642083423,,
I_CAPLS,CAPLS,15cdec,1167,0.7352414225929729,0.6928585000866123,-15.866461528343487,0.8395350683166025,2.0484966602296386,2.434815767221951,1.0,8.0
I_CAPLS,CAPLS,11obs,1167,0.36962011581930465,-0.09303788049248851,4.251301709908679,0.76193130431891,2.5383271315669838,2.434815767221951,0.948,4.0
I_CAPLS,CAPLS,vic,1167,0.6649899420721942,0.5805737822067076,-1.2076923734772567,0.8770861477641839,2.4054106828929895,2.434815767221951,,
I_CCH053,CCH053,9unimp,1167,-0.6098899546904863,-0.5813572922462236,132.50316773141975,0.8968168428461678,10.547196407544332,4.536366755969587,0.999,34.0
I_CCH053,CCH053,vic,1167,-1.3070157615871185,-2.36842851371664,172.20144188913324,0.9198093153688582,12.348055719128512,4.536366755969587,,
I_CFS001,CFS001,15cdec,1167,0.5239059240589454,0.6321517191714444,33.432560329818024,0.927292889569158,11.816156414344668,8.85552700565555,0.986,24.0
I_CFS001,CFS001,11obs,1167,0.2998019684879518,0.27226329477683975,25.581933505257627,0.9174503132271206,11.120942035782484,8.85552700565555,0.893,9.0
I_CFS001,CFS001,vic,1167,0.11204763749722668,-0.09648326351509517,33.447924231878666,0.8994526494350459,11.81751696884077,8.85552700565555,,
I_CLR011,CLR011,15cdec,1167,0.3662554619981838,0.5952228338063015,-52.41733405269721,0.8851980225313313,1.8019111173769211,3.786906600341635,0.942,12.0
I_CLR011,CLR011,11obs,1167,0.6079883100421088,0.7358977401530078,-24.27408745991625,0.8939484522727651,2.8676695801493652,3.786906600341635,0.999,4.0
I_CLR011,CLR011,vic,1167,0.6353394733268652,0.7444448814214186,-34.06489398314759,0.8965003626599822,2.4969008816944385,3.786906600341635,,
I_CLRLK,CLRLK,9unimp,1167,0.7358437594962518,0.7732625938872258,-18.921811230971443,0.8873838234579599,29.131420942777034,35.9300341868331,0.952,43.0
I_CLRLK,CLRLK,vic,1167,0.8455502231774152,0.8139602395636963,-12.568219539795026,0.9109037135233208,31.414268609508508,35.9300341868331,,
I_CMBIE,CMBIE,9unimp,1167,0.9000976094707632,0.8769810313046086,-7.87600315390736,0.9409354298461678,2.2830015749616415,2.4781833757991936,1.001,7.0
I_CMBIE,CMBIE,vic,1167,0.6219100200848371,0.714412451891733,18.01422310056312,0.9376548142549364,2.924608857956727,2.4781833757991936,,
