key,lat,lon,in_15cdec_grid,in_9unimp,in_11obs,in_12rim,in_calsim3_fp
35.40625_-118.65625,35.40625,-118.65625,0,0,0,0,1
35.40625_-118.59375,35.40625,-118.59375,0,0,0,0,1
35.40625_-118.53125,35.40625,-118.53125,0,0,0,0,1
35.40625_-118.46875,35.40625,-118.46875,0,0,0,0,1
35.40625_-118.40625,35.40625,-118.40625,0,0,0,0,1
35.40625_-118.34375,35.40625,-118.34375,1,0,0,0,1
35.40625_-118.28125,35.40625,-118.28125,1,0,0,0,1
35.40625_-118.21875,35.40625,-118.21875,1,0,0,0,1
35.40625_-118.15625,35.40625,-118.15625,1,0,0,0,1
35.46875_-120.09375,35.46875,-120.09375,0,0,0,0,1
35.46875_-120.03125,35.46875,-120.03125,0,0,0,0,1
35.46875_-119.96875,35.46875,-119.96875,0,0,0,0,1
35.46875_-119.90625,35.46875,-119.90625,0,0,0,0,1
35.46875_-119.84375,35.46875,-119.84375,0,0,0,0,1
35.46875_-119.78125,35.46875,-119.78125,0,0,0,0,1
35.46875_-119.71875,35.46875,-119.71875,0,0,0,0,1
35.46875_-119.65625,35.46875,-119.65625,0,0,0,0,1
35.46875_-119.59375,35.46875,-119.59375,0,0,0,0,1
35.46875_-119.53125,35.46875,-119.53125,0,0,0,0,1
35.46875_-119.46875,35.46875,-119.46875,0,0,0,0,1
35.46875_-119.40625,35.46875,-119.40625,0,0,0,0,1
35.46875_-119.34375,35.46875,-119.34375,0,0,0,0,1
35.46875_-119.28125,35.46875,-119.28125,0,0,0,0,1
35.46875_-119.21875,35.46875,-119.21875,0,0,0,0,1
35.46875_-119.15625,35.46875,-119.15625,0,0,0,0,1
35.46875_-119.09375,35.46875,-119.09375,0,0,0,0,1
35.46875_-119.03125,35.46875,-119.03125,0,0,0,0,1
35.46875_-118.96875,35.46875,-118.96875,0,0,0,0,1
35.46875_-118.90625,35.46875,-118.90625,0,0,0,0,1
35.46875_-118.84375,35.46875,-118.84375,0,0,0,0,1
35.46875_-118.78125,35.46875,-118.78125,0,0,0,0,1
35.46875_-118.71875,35.46875,-118.71875,0,0,0,0,1
35.46875_-118.65625,35.46875,-118.65625,0,0,0,0,1
35.46875_-118.59375,35.46875,-118.59375,0,0,0,0,1
35.46875_-118.53125,35.46875,-118.53125,0,0,0,0,1
35.46875_-118.46875,35.46875,-118.46875,0,0,0,0,1
35.46875_-118.40625,35.46875,-118.40625,1,0,0,0,1
35.46875_-118.34375,35.46875,-118.34375,1,0,0,0,1
35.46875_-118.28125,35.46875,-118.28125,1,0,0,0,1
35.46875_-118.21875,35.46875,-118.21875,1,0,0,0,1
35.46875_-118.15625,35.46875,-118.15625,1,0,0,0,1
35.53125_-120.15625,35.53125,-120.15625,0,0,0,0,1
35.53125_-120.09375,35.53125,-120.09375,0,0,0,0,1
35.53125_-120.03125,35.53125,-120.03125,0,0,0,0,1
35.53125_-119.96875,35.53125,-119.96875,0,0,0,0,1
35.53125_-119.90625,35.53125,-119.90625,0,0,0,0,1
35.53125_-119.84375,35.53125,-119.84375,0,0,0,0,1
35.53125_-119.78125,35.53125,-119.78125,0,0,0,0,1
35.53125_-119.71875,35.53125,-119.71875,0,0,0,0,1
35.53125_-119.65625,35.53125,-119.65625,0,0,0,0,1
35.53125_-119.59375,35.53125,-119.59375,0,0,0,0,1
35.53125_-119.53125,35.53125,-119.53125,0,0,0,0,1
35.53125_-119.46875,35.53125,-119.46875,0,0,0,0,1
35.53125_-119.40625,35.53125,-119.40625,0,0,0,0,1
35.53125_-119.34375,35.53125,-119.34375,0,0,0,0,1
35.53125_-119.28125,35.53125,-119.28125,0,0,0,0,1
35.53125_-119.21875,35.53125,-119.21875,0,0,0,0,1
35.53125_-119.15625,35.53125,-119.15625,0,0,0,0,1
35.53125_-119.09375,35.53125,-119.09375,0,0,0,0,1
35.53125_-119.03125,35.53125,-119.03125,0,0,0,0,1
35.53125_-118.96875,35.53125,-118.96875,0,0,0,0,1
35.53125_-118.90625,35.53125,-118.90625,0,0,0,0,1
35.53125_-118.84375,35.53125,-118.84375,0,0,0,0,1
35.53125_-118.78125,35.53125,-118.78125,0,0,0,0,1
35.53125_-118.71875,35.53125,-118.71875,0,0,0,0,1
35.53125_-118.65625,35.53125,-118.65625,0,0,0,0,1
35.53125_-118.59375,35.53125,-118.59375,0,0,0,0,1
35.53125_-118.53125,35.53125,-118.53125,0,0,0,0,1
35.53125_-118.46875,35.53125,-118.46875,0,0,0,0,1
35.53125_-118.40625,35.53125,-118.40625,0,0,0,0,1
35.53125_-118.34375,35.53125,-118.34375,1,0,0,0,1
35.53125_-118.28125,35.53125,-118.28125,1,0,0,0,1
35.53125_-118.21875,35.53125,-118.21875,1,0,0,0,1
35.53125_-118.15625,35.53125,-118.15625,1,0,0,0,1
35.59375_-120.21875,35.59375,-120.21875,0,0,0,0,1
35.59375_-120.15625,35.59375,-120.15625,0,0,0,0,1
35.59375_-120.09375,35.59375,-120.09375,0,0,0,0,1
35.59375_-120.03125,35.59375,-120.03125,0,0,0,0,1
35.59375_-119.96875,35.59375,-119.96875,0,0,0,0,1
35.59375_-119.90625,35.59375,-119.90625,0,0,0,0,1
35.59375_-119.84375,35.59375,-119.84375,0,0,0,0,1
35.59375_-119.78125,35.59375,-119.78125,0,0,0,0,1
35.59375_-119.71875,35.59375,-119.71875,0,0,0,0,1
35.59375_-119.65625,35.59375,-119.65625,0,0,0,0,1
35.59375_-119.59375,35.59375,-119.59375,0,0,0,0,1
35.59375_-119.53125,35.59375,-119.53125,0,0,0,0,1
35.59375_-119.46875,35.59375,-119.46875,0,0,0,0,1
35.59375_-119.40625,35.59375,-119.40625,0,0,0,0,1
35.59375_-119.34375,35.59375,-119.34375,0,0,0,0,1
35.59375_-119.28125,35.59375,-119.28125,0,0,0,0,1
35.59375_-119.21875,35.59375,-119.21875,0,0,0,0,1
35.59375_-119.15625,35.59375,-119.15625,0,0,0,0,1
35.59375_-119.09375,35.59375,-119.09375,0,0,0,0,1
35.59375_-119.03125,35.59375,-119.03125,0,0,0,0,1
35.59375_-118.96875,35.59375,-118.96875,0,0,0,0,1
35.59375_-118.90625,35.59375,-118.90625,0,0,0,0,1
35.59375_-118.84375,35.59375,-118.84375,0,0,0,0,1
35.59375_-118.78125,35.59375,-118.78125,0,0,0,0,1
35.59375_-118.71875,35.59375,-118.71875,0,0,0,0,1
35.59375_-118.65625,35.59375,-118.65625,0,0,0,0,1
35.59375_-118.59375,35.59375,-118.59375,0,0,0,0,1
