key,date,prcp_raw_mm
38.84375_-120.84375,1974-07-09,324.89599609375
38.84375_-120.90625,1974-07-09,243.5189971923828
38.84375_-120.96875,1974-07-09,278.68499755859375
38.84375_-121.03125,1974-07-09,391.1300048828125
38.84375_-121.09375,1974-07-09,285.2430114746094
38.84375_-122.71875,1954-08-28,152.5469970703125
38.90625_-120.40625,1974-07-09,183.3800048828125
38.90625_-120.46875,1974-07-09,551.2750244140625
38.90625_-120.46875,1974-07-10,158.19500732421875
38.90625_-120.53125,1974-07-09,498.87298583984375
38.90625_-120.59375,1974-07-09,445.1239929199219
38.90625_-120.65625,1974-07-09,575.6010131835938
38.90625_-120.78125,1974-07-09,856.0390014648438
38.90625_-120.78125,1980-07-02,211.97999572753906
38.90625_-120.84375,1974-07-09,533.6480102539062
38.90625_-120.90625,1974-07-09,342.8909912109375
38.90625_-120.96875,1974-07-09,227.71200561523438
38.90625_-121.03125,1974-07-09,259.2980041503906
38.90625_-121.09375,1974-07-09,364.33099365234375
38.96875_-120.46875,1974-07-09,334.2139892578125
38.96875_-120.53125,1974-07-09,525.5419921875
38.96875_-120.59375,1974-07-09,595.8599853515625
38.96875_-120.65625,1974-07-09,573.5089721679688
38.96875_-120.65625,1980-07-02,150.9340057373047
38.96875_-120.71875,1974-07-09,647.7100219726562
38.96875_-120.71875,1980-07-02,162.35400390625
38.96875_-120.84375,1974-07-09,374.6619873046875
38.96875_-120.90625,1974-07-09,233.2570037841797
38.96875_-121.09375,1974-07-09,158.31199645996094
39.03125_-120.53125,1974-07-08,160.13699340820312
39.03125_-120.53125,1974-07-09,525.9769897460938
39.03125_-120.59375,1974-07-09,404.6159973144531
39.03125_-120.65625,1974-07-08,151.4250030517578
39.03125_-120.65625,1974-07-09,551.77001953125
39.03125_-120.71875,1974-07-09,436.5090026855469
39.03125_-120.78125,1974-07-09,391.9049987792969
39.03125_-120.84375,1974-07-09,373.87298583984375
39.09375_-120.53125,1974-07-08,159.6179962158203
39.09375_-120.59375,1974-07-09,159.33200073242188
39.09375_-120.71875,1974-07-09,328.90899658203125
39.09375_-120.78125,1974-07-09,222.6179962158203
39.15625_-120.53125,1974-07-08,205.56500244140625
39.15625_-120.53125,1974-07-09,173.75799560546875
39.15625_-120.84375,1974-07-08,168.61500549316406
39.21875_-120.59375,1974-07-08,153.68800354003906
39.21875_-121.09375,1974-07-09,178.8300018310547
39.28125_-120.53125,1974-07-08,190.77499389648438
39.28125_-120.53125,1974-07-09,189.11599731445312
39.28125_-120.59375,1974-07-08,201.89999389648438
39.28125_-120.59375,1974-07-09,199.22500610351562
39.34375_-120.59375,1974-07-09,154.822998046875
39.34375_-121.03125,1974-07-08,173.29299926757812
39.34375_-121.09375,1974-07-08,198.96099853515625
39.34375_-121.15625,1974-07-08,239.68899536132812
39.34375_-121.21875,1974-07-08,254.57000732421875
39.34375_-121.28125,1974-07-08,229.4600067138672
39.40625_-120.53125,1974-07-08,152.9929962158203
39.40625_-120.59375,1974-07-08,150.9429931640625
39.40625_-120.96875,1974-07-08,168.54800415039062
39.40625_-121.03125,1974-07-08,184.1009979248047
39.40625_-121.15625,1974-07-08,241.6959991455078
39.40625_-121.21875,1974-07-08,306.3630065917969
39.46875_-121.03125,1974-07-08,159.39199829101562
39.46875_-121.15625,1974-07-08,192.91299438476562
39.46875_-121.21875,1974-07-08,242.7169952392578
39.46875_-121.21875,1974-07-09,280.18499755859375
39.46875_-121.34375,1974-07-08,189.20899963378906
39.53125_-121.15625,1974-07-08,193.8979949951172
39.53125_-121.21875,1974-07-08,185.18800354003906
39.53125_-121.21875,1974-07-09,170.1790008544922
39.53125_-121.53125,1974-07-08,179.78900146484375
39.59375_-121.03125,1974-07-08,172.43699645996094
39.59375_-121.09375,1974-07-08,172.97900390625
39.59375_-121.15625,1974-07-08,170.63600158691406
39.59375_-121.21875,1974-07-08,173.55999755859375
39.65625_-121.03125,1974-07-08,164.2270050048828
39.65625_-121.09375,1974-07-08,164.89199829101562
39.65625_-121.34375,1974-07-09,157.08099365234375
39.65625_-121.40625,1974-07-09,166.6820068359375
39.71875_-121.40625,1974-07-09,208.08200073242188
39.78125_-121.28125,1974-07-09,168.2169952392578
39.78125_-121.34375,1974-07-09,155.41799926757812
