arc,node,entity,basis,system,tier1_set,sq_mi,cover_frac,n_cells,n_nan_cells,nan_weight_frac,has_series,window,win_start,win_end,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr
I_CFS001,CFS001,cdec_NML,trained entity,ST,UF16,67.2646813002,0.9976690656754202,12,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7945123664485793,0.8585907062931742,17.754859034412956,0.9472905940730705,1.0890133930159145,1.1775485903441294,0.1069851341900868,-0.46892075907977127,135.35147251558612,114.94342876843044
I_CFS001,CFS001,cdec_NML,trained entity,ST,UF16,67.2646813002,0.9976690656754202,12,0,0.0,True,train,1987-10,2018-12,375,0.867732601132035,0.7717844140014618,3.7101823336540303,0.896623938016932,1.0736987741911246,1.0371018233365403,0.10205802213958176,-0.7087735478093347,108.76659301979876,104.87552000427246
I_CLR011,CLR011,cdec_BND,trained entity,SRBB,UF6,28.3454815416,0.9985835241900818,4,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5244799806458056,0.732096905206336,-37.07370321457901,0.9251133622781592,0.7117894289012588,0.6292629678542099,0.12376086664123145,-0.6875616205506399,33.17726071195198,52.72399999174689
I_CLR011,CLR011,cdec_BND,trained entity,SRBB,UF6,28.3454815416,0.9985835241900818,4,0,0.0,True,train,1999-10,2018-12,231,0.9322389583475476,0.8708339988661001,-1.2320574904933526,0.9346825578727235,0.9868320862021653,0.9876794250950665,0.11536198375932732,-0.5304340479794716,41.769347974577386,42.29038989098815
I_CLRLK,CLRLK,uf_03,trained entity,,UF3,489.454785185,0.9994423335537771,56,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7525273773884202,0.9116005591779922,-18.826177661970103,0.971247871672489,0.8419698841268364,0.811738223380299,0.030482927565486567,-0.2170613315563017,396.9863752997229,489.057141656535
I_CLRLK,CLRLK,uf_03,trained entity,,UF3,489.454785185,0.9994423335537771,56,0,0.0,True,train,1984-10,2014-09,360,0.9012520251655366,0.9620346473043055,-5.866403210004209,0.9832482521140699,0.9223528956467835,0.9413359678999581,0.033497720532530396,-0.22951412342165423,391.87314148332496,416.2946650785704
I_CMBIE,CMBIE,uf_10,trained entity,,UF10,31.8448124247,1.001037292010328,8,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7718948316756917,0.8766412243890485,22.10674294107485,0.9485664817835162,0.9772898112324135,1.2210674294107484,0.05939609696456919,0.09679845557403333,40.097412066339196,32.837999852054885
I_CMBIE,CMBIE,uf_10,trained entity,,UF10,31.8448124247,1.001037292010328,8,0,0.0,True,train,1984-10,2014-09,360,0.7728327505911123,0.8398180621854171,21.049754426749836,0.9255291262121091,0.9581690064829868,1.2104975442674983,0.07009967196331432,0.15912991650338704,33.89675581900063,28.00233340375126
I_CMP001,CMP001,cdec_CSN,trained entity,,UF13,15.7076840199,1.0017978712385531,5,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5199070720804992,0.47940244988549574,-34.512903638550426,0.7412265401323647,0.7892597234744493,0.6548709636144958,0.26125759745205807,-1.2399601443512145,8.392639166948877,12.815714290684888
I_CMP001,CMP001,cdec_CSN,trained entity,,UF13,15.7076840199,1.0017978712385531,5,0,0.0,True,train,1999-04,2018-12,237,0.6694939051256612,0.6562371737896905,-27.614514694608502,0.8351718449562456,0.9237778518271582,0.723854853053915,0.2575910349416668,-1.2534034083995627,8.269904240144271,11.424810105581074
I_CMP014,CMP014,cdec_CSN,trained entity,,UF13,29.7308203078,0.9974012600769985,9,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.48467049968702514,0.5189846186433441,-30.120821194045572,0.7666003120420178,0.6530667317572867,0.6987917880595443,0.11690748199939094,-0.471894995411243,31.77086816308374,45.46542862403605
I_CMP014,CMP014,cdec_CSN,trained entity,,UF13,29.7308203078,0.9974012600769985,9,0,0.0,True,train,1999-04,2018-12,237,0.6319000312670895,0.701285268425591,-26.621560677180174,0.8599624350367201,0.7878295070198351,0.7337843932281982,0.1837704104630023,-0.8013858059312744,28.558517108529713,38.91949375332156
I_CMPFW,CMPFW,uf_10,trained entity,,UF10,25.0969974101,1.0008649844741633,7,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.2183899181557497,0.48159304858624996,-64.1801379837026,0.8708890339901174,0.5729921928865231,0.35819862016297416,0.16071057658750731,-0.2784266732190783,6.073615815902402,16.956000034670744
I_CMPFW,CMPFW,uf_10,trained entity,,UF10,25.0969974101,1.0008649844741633,7,0,0.0,True,train,1984-10,2014-09,360,0.15845732922587197,0.4604876086002744,-70.44754839656112,0.8451121834070604,0.5665047595461487,0.29552451603438884,0.17869259308839514,-0.08797743720967155,4.273185999217715,14.459666685387493
I_COL003,COL003,cdec_MKM,trained entity,,UF14,20.6784256592,1.0015910282237719,5,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7626281559032533,0.8393923067849818,-5.161624309369855,0.9289885747581699,0.7794585451578175,0.9483837569063014,0.13967361186683164,-0.4899959135327423,49.02873055076358,51.697142842997394
I_COL003,COL003,cdec_MKM,trained entity,,UF14,20.6784256592,1.0015910282237719,5,0,0.0,True,train,1988-10,2018-12,363,0.722435590488252,0.6293511752019819,-1.0987397182016005,0.793632832087953,0.8147059889291319,0.9890126028179841,0.24278962231365211,-0.9334237243518624,44.84787987501315,45.34611565841377
I_COT033,COT033,uf_21,trained entity,,UF21,30.3173832183,0.9961527697988904,7,0,0.0,True,WY1950-84,1949-10,1984-09,420,-0.24290318648019427,0.060160493289854955,-92.83112304461663,0.6004902010478914,0.2765094949265809,0.0716887695538337,0.3168351937671098,-0.9480559807979212,0.38140473642698874,5.320285712821143
I_COT033,COT033,uf_21,trained entity,,UF21,30.3173832183,0.9961527697988904,7,0,0.0,True,train,1984-10,2014-09,360,-0.26018062848773127,0.11182756197605837,-92.9819374201201,0.6848064144157597,0.2099720565813066,0.07018062579879907,0.3796330627203396,-1.2811733238833796,0.2894950821651593,4.125000010617077
I_COW014,COW014,cdec_BND,trained entity,SRBB,UF6,384.0351176,1.0002284582102137,40,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.8965510087453067,0.9231497245874669,-6.117176266419362,0.9626563383659834,0.925399998794013,0.9388282373358063,0.057531134354405704,-0.0627465390651949,444.8484717625938,473.8337153396436
I_COW014,COW014,cdec_BND,trained entity,SRBB,UF6,384.0351176,1.0002284582102137,40,0,0.0,True,train,1999-10,2018-12,231,0.8815200153150841,0.886550592527084,1.3544298361180036,0.9427158391474071,0.8971769302721636,1.0135442983611802,0.08843233440705364,0.05144704484043494,395.9693803814241,390.67792204215925
